brainregion,disease,text,pubdate
Cerebral cortex,Motor Neuron Disease,The finding that elemental mercury enters human cortical motor neurons in preference to other cerebral neurons raises the possibility that this neurotoxin may play a part in the pathogenesis of some human motor neuron diseases.,1996 Nov
Structure of fissure of Sylvius,Leigh Disease,These neurons appear to be the homologues of the abdominal CCAP-IR NS-Ls neurons that in the adult switch their neurotransmitter and release the neuropeptide bursicon.,1996 Oct 15
Pyramidal Cells,Depressive disorder,A gradual and prolonged decrease of the response termed here depression evoked by repeated activation with transmembrane current stimuli was analyzed in rat CA1 hippocampal pyramidal cells under single-electrode current clamp by the use of the in vitro slice technique.,1995 Oct
Lamina Terminalis,Spinal Cord Diseases,Major sites of AT1 receptors are the lamina terminalis hypothalamic paraventricular nucleus the lateral parabrachial nucleus rostral and caudal ventrolateral medulla nucleus of the solitary tract and the intermediolateral cell column of the thoraco-lumbar spinal cord.,1996
Entire medulla oblongata,Spinal Cord Diseases,Major sites of AT1 receptors are the lamina terminalis hypothalamic paraventricular nucleus the lateral parabrachial nucleus rostral and caudal ventrolateral medulla nucleus of the solitary tract and the intermediolateral cell column of the thoraco-lumbar spinal cord.,1996
Genus Hippocampus,Parkinson Disease,Regarding to the important neuromodulatory action of KATP channels in some neuronal populations sulfonylurea binding sites were measured in several cortical areas (frontal and temporal cortex hippocampus) and striatum (caudate nucleus and putamen) in controls and patients with Parkinson's disease or progressive supranuclear palsy.,1994 Apr 11
Neostriatum,cortex bone disorders,No significant effect was observed in the striatum and cortex for either GFAP mRNA or MBR binding.,1994
Medulla Oblongata,Spinal Cord Diseases,The regional distribution of FLFQPQRFamide binding sites on fresh unfixed cryostate sections from post mortem specimens of human spinal cord and lower medulla oblongata was studied by quantitative autoradiographic methods using [125I]YLFQPQRFamide as ligand.,1994 Jan 7
Structure of central sulcus,Hamartoma Syndrome Multiple,In the majority of single-spiking MGv cells that expressed a clear Ih application of Cs+ consistently hyperpolarized the cell which transformed a single-spike synaptic response into an EPSP-LTS burst or a subthreshold EPSP. 4.,1995 Feb 15
Corpus striatum structure,Huntington Disease,Previous studies in the rat striatum have shown that excitotoxic injury which is linked to a rise in intracellular Ca2+ mimics many of the neurochemical and neuropathological characteristics of Huntington's disease.,1995 Mar
CA2 field,Neurotoxicity Syndromes,Neurons pretreated with NT-3 or BDNF for 24 hr were more resistant to glutamate neurotoxicity and showed attenuated [Ca2+]i responses to glutamate.,1994 Mar 21
Ventral Tegmental Area,Parkinson Disease,The relative lower expression of the DAT gene in VTA neurons suggests a less efficient dopamine reuptake capacity which may partly account for the relative sparing of the mesolimbic system reported in Parkinson's disease and MPTP-treated animals.,1994 Mar
BRAIN HIPPOCAMPUS,Sweet Syndrome,Both short- and long-term ISO administration decreased the number of specific [125I]Tyr11-somatostatin ([125I]Tyr11-SS) receptors in synaptosomes from hippocampus (29% P &lt
Basal Ganglia,Spinal Cord Diseases,Northern blot analysis shows expression of these sequences in the basal forebrain basal ganglia and spinal cord but not cerebellum or peripheral tissues.,1994 Oct 25
Pituitary Gland,Pituitary Diseases,The inhibitory neurotransmitter gamma-aminobutyric acid (GABA) is involved in the control of sexually dimorphic brain functions such as pituitary secretion and reproductive behavior.,1994
Cerebral cortex,Functional disorder,Benson (1979) enumerates five neuroanatomical correlates of mutism: (a) damage to the Broca region (b) lesion of the supplementary motor area of the dominant hemisphere (c) dysfunction of the mesencephalic reticular system (d) thalamotomy and (e) bilateral pathology of cortical and subcortical motor structures.,1994 Sep
Cerebral cortex,Spinal Cord Diseases,The present study describes the immunohistochemical localization of raf kinases in glia-like cells of the rat cerebral cortex spinal cord and brain stem.,1994 Jun
Corpus Callosum,cortex bone disorders,In the cortex neurons mainly expressed FGFR gene in the cortex whereas astroglias and capillary endothelium expressed FGFR in the corpus callosum and internal capsule.,1994
Internal capsule of brain,cortex bone disorders,In the cortex neurons mainly expressed FGFR gene in the cortex whereas astroglias and capillary endothelium expressed FGFR in the corpus callosum and internal capsule.,1994
Cerebellar tonsil,cortex bone disorders,The unipolar brush cells are highly concentrated in the flocculo-nodular lobe the ventral uvula and the ventral paraflocculus occur at relatively high density in the lingula at moderate-to-low density in other folia of the vermis and in the narrow intermediate cortex and at low to very low density with the exception of a few hot spots in the lateral regions of the cerebellar hemispheres and in the dorsal paraflocculus.,1994 Jun
Pituitary Gland,Pituitary Diseases,Light microscopy of silver-stained paraffin sections demonstrated autonomic ganglion cells filled with numerous intracytoplasmic black-stained fine granular inclusions which were also seen in endocrine tissues (pituitary parathyroid and adrenal) and in Leydig cells.,1994
Superior temporal gyrus,cortex bone disorders,Mid-STP cortex (areas TPO-2 and -3) has input from the mid-STG cortex of the mid-circular sulcus caudal inferior parietal lobule (IPL) cingulate gyrus (areas 23 24 retrosplenial cortex) and mid-PHG (areas 28 TF TH and TL).,1994 May 15
Insula of Reil,cortex bone disorders,Caudal STP cortex (area TPO-4) has afferent connections with the caudal STG cortex of the caudal insula and caudal circular sulcus caudal IPL lower bank of the intraparietal sulcus (IPS) medial parietal lobe cingulate gyrus and mid- and caudal PHG (areas TF TH TL
Gyrus Cinguli,cortex bone disorders,Caudal STP cortex (area TPO-4) has afferent connections with the caudal STG cortex of the caudal insula and caudal circular sulcus caudal IPL lower bank of the intraparietal sulcus (IPS) medial parietal lobe cingulate gyrus and mid- and caudal PHG (areas TF TH TL
Neostriatum,cortex bone disorders,Weak to moderate immunofluorescence was found in the neuropil of several brain areas including striatum and cortex.,1994 Aug
Pituitary Gland,Pituitary Diseases,In pituitary COMT immunoreactivity was found in cleft cells in pituicytes of the posterior lobe and in the anterior lobe partly in the same cells containing luteinizing hormone (LH).,1994 Aug
Brain Stem,Spinal Cord Diseases,In addition labeling was seen in the lateral and central amygdaloid nuclei in brainstem and spinal motor nuclei over most neurons of the dorsal and medullary raphe nuclei and neurons of the intermediolateral cell column in the spinal cord.,1994 Jul
Parabrachial Nucleus,Lung diseases,We could find no evidence that the decrease in total lung resistance evoked by stimulation of the parabrachial nuclei was caused by activation of either beta-adrenergic or nonadrenergic noncholinergic pathways.,1994 Apr
Neostriatum,Spinal Cord Diseases,To determine whether glia from different CNS regions differ in their ability to support axons or dendrites embryonic (E18) mouse cortical neurons were cocultured with early postnatal (P4) rat astroglial derived from cortex retina olfactory bulb mesencephalon striatum and spinal cord.,1994 Aug
Corpus striatum structure,Spinal Cord Diseases,To determine whether glia from different CNS regions differ in their ability to support axons or dendrites embryonic (E18) mouse cortical neurons were cocultured with early postnatal (P4) rat astroglial derived from cortex retina olfactory bulb mesencephalon striatum and spinal cord.,1994 Aug
CA2 field,Depressive disorder,The paired-pulse depression of both EPSCs was Ca2+ dependent and involved presynaptic mechanisms.,1994 Apr 15
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,Two different states were compared: a) freely moving animals
Structure of central sulcus,Neurotoxicity Syndromes,Neither D-cycloserine (D-CS) nor glycine affected neurotoxicity produced by maximum glutamate concentrations while glycine but not D-CS augmented the effects of submaximum glutamate concentrations.,1993 Feb 19
Inferior olivary nucleus,Spinal Cord Diseases,The following eight structures were tested for projection sites of Spf dopamine neurons: the neocortex olfactory tubercle nucleus accumbens striatum globus pallidus amygdala inferior olive and spinal cord.,1993
Cerebral cortex,cortex bone disorders,Injections of the nodular cortex revealed a distinct bilateral projection to this cortical area.,1994 Jan
Structure of suprachiasmatic nucleus,Retinal Diseases,The retinohypothalamic tract (RHT) is a direct pathway from the retina to the suprachiasmatic nucleus (SCN).,1993 Jun 25
