"brainregion","protein","count"
"Cerebral Ventricles","Antibodies","6"
"Cerebral cortex","Myelin Proteins","6"
"Medulla Oblongata","Appetite-Regulating Hormone","6"
"Pituitary cell","Gonadorelin","6"
"Cerebellum","D-Serine","6"
"Lateral geniculate complex","Microtubule-Associated Proteins","6"
"Hypothalamic Area, Lateral","Human Chorionic Gonadotropin","6"
"Medial Septal Nucleus","Enzymes","6"
"Structure of entorhinal cortex","Calbindins","6"
"Neostriatum","protein TDP-43","6"
"Amygdaloid structure","Nitric Oxide Synthase Type I","6"
"Paracentral sulcus","Green Fluorescent Proteins","6"
"Internal arcuate tract","Angiotensin II","6"
"Prosencephalon","HD protein, human","6"
"Basal Nucleus of Meynert","Substance P","6"
"Cerebellum","GCLC protein, human","6"
"Structure of ventromedial hypothalamic nucleus","KISS1 protein, human","6"
"Trigeminal Caudal Nucleus","Somatostatin","6"
"Purkinje Cells","NADPH Dehydrogenase","6"
"Midbrain structure","Amyloid","6"
"CA3 field","Bromodeoxyuridine","6"
"BRAIN, HIPPOCAMPUS","Protein Precursors","6"
"Genus Hippocampus","Insulin-Like-Growth Factor I Receptor","6"
"Preoptic Areas","Argipressin","6"
"Structure of rhomboidal nucleus of thalamus","Human Growth Hormone","6"
"Somatosensory Cortex","Oxidase, Cytochrome-c","6"
"Parasubiculum","Parvalbumins","6"
"Pontine structure","Synucleins","6"
"BRAIN, HIPPOCAMPUS","LDL-Receptor Related Protein 2","6"
"Purkinje Cells","Purinoceptor","6"
"CA1 field","Ghrelin","6"
"Neostriatum","Receptors, Nerve Growth Factor","6"
"Structure of paraventricular nucleus of thalamus","NOS1 protein, human","6"
"Structure of choroid plexus","Proteins","6"
"Genus Hippocampus","Low Density Lipoprotein Receptor","6"
"Structure of paraventricular nucleus of thalamus","HDAC Inhibitor SHP-141","6"
"Structure of lateral olfactory gyrus","Parvalbumins","6"
"Ventral Tegmental Area","Calbindins","6"
"Central gray substance of midbrain","Receptors, Opioid, delta","6"
"CA1 field","Apolipoprotein E4","6"
"Brain Stem","GTP-Binding Proteins","6"
"Pineal gland","Calcitonin Gene-Related Peptide","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","6"
"Genus Hippocampus","Neurofilament Proteins","6"
"Anterodorsal nucleus of thalamus","Glycogen Synthase Kinases","6"
"Cerebellum","NFI Transcription Factors","6"
"Structure of nucleus infundibularis hypothalami","Ciliary Neurotrophic Factor","6"
"Reticular Formation","Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","6"
"Nucleus of anterior commissure","Receptor","6"
"Lateral posterior nucleus of thalamus","Proteins","6"
"Metencephalon","DNA Nucleotidylexotransferase","6"
"Pineal gland","Glial Fibrillary Acidic Protein","6"
"Parietal Lobe","Y, Neuropeptide","6"
"CA3 field","HDAC Inhibitor SHP-141","6"
"Dorsal Nucleus Raphe","HTR2A protein, human","6"
"Prosencephalon","Synucleins","6"
"BRAIN, HIPPOCAMPUS","Keratin-1","6"
"Lateral posterior nucleus of thalamus","Chimerin 1","6"
"Medulla Oblongata","Fibroblast Growth Factor 1","6"
"BRAIN, HIPPOCAMPUS","Glutamate + glutamine","6"
"Anterodorsal nucleus of thalamus","Heparan Sulfate Proteoglycans","6"
"Pedunculopontine Tegmental Nucleus","Proto-Oncogene Proteins c-fos","6"
"Pituitary cell","Peptides","6"
"Substantia nigra structure","Muscarinic Acetylcholine Receptor","6"
"Substantia nigra structure","Neurotrophin 3","6"
"Genus Hippocampus","Pituitary Hormones, Anterior","6"
"Dorsal Motor Nucleus","Proteins","6"
"Fimbria of hippocampus","Glial Fibrillary Acidic Protein","6"
"Inferior olivary nucleus","Choline O-Acetyltransferase","6"
"intercalated amygdalar nuclei","Angiotensin II","6"
"Substantia Nigra Pars Reticulata","Receptor, Cannabinoid","6"
"Prosencephalon","Pituitary Hormones, Anterior","6"
"Bundle, Predorsal","Protein Phosphatase 2A Regulatory Subunit PR53","6"
"Thalamic structure","Agglutinins","6"
"Cerebral hemisphere structure (body structure)","Interleukin-8","6"
"CA2 field","TERT protein, human","6"
"CA1 field","CDK-Activating Kinase Assembly Factor MAT1","6"
"Corpus striatum structure","Undecaprenyl-phosphate galactose-phosphotransferase","6"
"Linear nucleus","Delta Sleep-Inducing Peptide","6"
"Corpus striatum structure","Epoxide hydrolase","6"
"Cerebral cortex","Nuclear Proteins","6"
"BRAIN, HIPPOCAMPUS","Endothelin","6"
"Cerebellum","Histones","6"
"Cerebellum","Peplomycin","6"
"Hypothalamic structure","Nicotinamide Phosphoribosyltransferase","6"
"CA1 field","Protein phosphatase","6"
"Gonadotrophs","Receptor, Leptin","6"
"Medial nucleus of habenula","Calretinin","6"
"Prefrontal Cortex","CDK-Activating Kinase Assembly Factor MAT1","6"
"sensory cortex","Microtubule-Associated Proteins","6"
"CA1 field","SYNPO protein, human","6"
"Nucleus fastigii","Horseradish Peroxidase","6"
"Anterodorsal nucleus of thalamus","Monoclonal Antibodies","6"
"Structure of suprachiasmatic nucleus","Cyclic AMP-Responsive DNA-Binding Protein","6"
"CA1 field","Eukaryotic Initiation Factor-4E","6"
"Corpus striatum structure","Cyclosporine","6"
"Structure of diencephalon","Genes","6"
"Genus Hippocampus","NG-Nitroarginine Methyl Ester","6"
"Prosencephalon","Vascular Endothelial Growth Factors","6"
"Longitudinal pontine fibers","Proteins","6"
"Midbrain structure","GATA2 Transcription Factor","6"
"Nucleus of anterior commissure","Coenzyme A","6"
"Pyramidal Cells","Neurogranin","6"
"Structure of central sulcus","Semaphorin-3A","6"
"Auditory Hair Cell","Nuclear Factor of Activated T-Cells, Cytoplasmic 4","6"
"Corpus striatum structure","Capsid Proteins","6"
"Structure of paraventricular nucleus of thalamus","Receptors, Opioid, delta","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Immune Sera","6"
"BRAIN, HIPPOCAMPUS","Myosin Type II","6"
"CA1 field","Interleukin-4","6"
"Brain Stem","Coenzyme I","6"
"Area striata structure","Arginine Vasopressin-Neurophysin II Preproprotein","6"
"Ventral Tegmental Area","Acetylcysteine","6"
"BRAIN, HIPPOCAMPUS","low-density lipoprotein receptor-related protein 2, human","6"
"Prefrontal Cortex","ranpirnase","6"
"BRAIN, HIPPOCAMPUS","CREBBP protein, human","6"
"Cerebral cortex","Acid Sensing Ion Channels","6"
"Nucleus Accumbens","Membrane Transport Proteins","6"
"Superior colliculus of corpora quadrigemina","Neurotrophic Factor","6"
"Medial Septal Nucleus","Myelin basic protein","6"
"Entire medulla oblongata","Atrial Natriuretic Factor","6"
"Corpus striatum structure","Oxidoreductase","6"
"Lateral reticular nucleus (medulla)","INSR protein, human","6"
"Olivary pretectal nucleus","Horseradish Peroxidase","6"
"Nucleus solitarius","Endorphins","6"
"Dentate nucleus","Horseradish Peroxidase","6"
"Pituitary Stalk","Argipressin","6"
"Structure of nucleus prepositus","Methionine","6"
"Rostrotemporal auditory area","Cytokine","6"
"Set of basolateral nuclei of amygdala","HCRT Gene","6"
"Dentate nucleus","Receptor","6"
"Occipital lobe","Glutamine","6"
"Hypothalamic Area, Lateral","Protein Kinases","6"
"BRAIN, HIPPOCAMPUS","Growth Arrest and DNA Damage-Inducible Protein GADD45 Beta, Human","6"
"Corpus striatum structure","Receptor, Serotonin, 5-HT1B","6"
"CA2 field","Threonine","6"
"Cerebral hemisphere structure (body structure)","Serum Amyloid P-Component","6"
"Thalamic structure","S100A12 protein, human","6"
"Corpus striatum structure","Glycoproteins","6"
"Structure of entorhinal cortex","Cholecystokinin","6"
"Cerebral cortex","rho-Associated Kinases","6"
"Lateral ventricle structure","Serotonin","6"
"Medial Dorsal Nucleus","Glutamate Decarboxylase","6"
"Amygdaloid structure","FOSB protein, human","6"
"Pretectal region","Acetylcholinesterase","6"
"Anterodorsal nucleus of thalamus","Cathepsin D","6"
"central amygdalar nucleus","Phenylethanolamine N-Methyltransferase","6"
"Structure of supraoptic nucleus","Corticotropin-Releasing Hormone","6"
"Type 2 vestibular sensory cell","Brain-Derived Neurotrophic Factor","6"
"Hypothalamic structure","Galanin-Like Peptide","6"
"BRAIN, HIPPOCAMPUS","Interleukin-9","6"
"Cerebral cortex","Receptors, Odorant","6"
"Structure of dentate gyrus","Factor, Transcription","6"
"Gigantocellular nucleus","Calcium","6"
"BRAIN, HIPPOCAMPUS","Cortactin","6"
"Structure of subthalamic nucleus","5-Hydroxytryptamine Receptor 1A, human","6"
"Substantia nigra structure","preproenkephalin","6"
"Prefrontal Cortex","Factor, Transcription","6"
"Structure of dentate gyrus","Synucleins","6"
"Hindbrain","Glycine","6"
"Pontine structure","Antibodies","6"
"CA2 field","Receptor 5, Metabotropic Glutamate","6"
"Structure of olfactory bulb","Protein, Nestin","6"
"Cerebellum","Tyrosine","6"
"Cerebellar Nuclei","GABA Receptor","6"
"Cerebral cortex","TLR7 protein, human","6"
"Cerebellum","Complex, Multicatalytic Endopeptidase","6"
"Hypothalamic structure","Glutaminase","6"
"Medulla Oblongata","Receptors, Odorant","6"
"Cerebral hemisphere structure (body structure)","Associated Protein, FKBP12-Rapamycin","6"
"Cerebellar cortex structure","GABA Receptor","6"
"Claustral structure","Vasoactive Intestinal Peptide","6"
"Prosencephalon","HCRT Gene","6"
"Medulla Oblongata","Ghrelin","6"
"Lateral posterior nucleus of thalamus","Deaminase, Adenosine","6"
"Lateral ventricle structure","Proliferating Cell Nuclear Antigen","6"
"Structure of anterior commissure","Adenylyl Cyclase 9","6"
"Neostriatum","Anti-Drug Antibody","6"
"Cerebellar Nuclei","Calretinin","6"
"Cerebellum","phospholipase A2-alpha","6"
"Nucleus solitarius","Opioid Peptide","6"
"Central gray substance of midbrain","Serum Response Factor","6"
"Hypothalamic structure","Proglucagon","6"
"Substantia nigra structure","Cyclic AMP-Dependent Protein Kinases","6"
"Entire lateral geniculate body","NADPH Dehydrogenase","6"
"Structure of piriform area","N-Methylaspartate","6"
"Cerebral cortex","Lamin B1","6"
"Linear nucleus","Immunoglobulins","6"
"Marginal Sulcus","Interferons","6"
"Medulla Oblongata","Green Fluorescent Proteins","6"
"Globus Pallidus","Dopa","6"
"Structure of rubrospinal tract","IRF6 wt Allele","6"
"Neocortex","Heat-Shock Proteins 70","6"
"BRAIN, HIPPOCAMPUS","Interleukin-17","6"
"Structure of oculomotor nerve central caudal nucleus","Caspase-3","6"
"Neostriatum","Oxidoreductase","6"
"Cerebellar Nuclei","Microtubule-Associated Proteins","6"
"Structure of thalamic reticular nucleus","GABA Receptor","6"
"Brain Stem","Neurotensin","6"
"Substantia nigra structure","Oxytocin","6"
"Pontine structure","Neuropeptides","6"
"Structure of lateral olfactory gyrus","Genes","6"
"Cerebral cortex","preproenkephalin","6"
"Cerebellum","PTPN22 protein, human","6"
"Structure of rubrospinal tract","tropomyosin-related kinase-B, human","6"
"Median eminence of hypothalamus","Bombesin","6"
"Cerebral cortex","Fibroblast Growth Factor Receptor 1","6"
"Bundle, Predorsal","Antibodies","6"
"Substantia nigra structure","Receptors, Histamine H3","6"
"Hypothalamus, Middle","Receptor","6"
"Genus Hippocampus","Chimerin 1","6"
"Structure of nucleus infundibularis hypothalami","Dopamine-beta-monooxygenase","6"
"CA1 field","HCRT protein, human","6"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Polyclonal antibody","6"
"Genus Hippocampus","Glucose Transporter","6"
"Cerebral cortex","Catechol O-Methyltransferase","6"
"Entire medulla oblongata","Endothelin-1","6"
"Anterodorsal nucleus of thalamus","Factor, Transcription","6"
"Pulvinar structure","Retinaldehyde","6"
"Cerebral cortex","Calcium-Sensing Receptor","6"
"Cerebral cortex","Silk","6"
"Cerebral hemisphere structure (body structure)","CPG-ODN","6"
"Corpus striatum structure","Ghrelin","6"
"Substantia nigra structure","Y, Neuropeptide","6"
"Basal Nucleus of Meynert","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","6"
"BRAIN, HIPPOCAMPUS","Synaptic Receptors","6"
"Pineal gland","Antibodies","6"
"Cochlear outer hair cell","Receptor","6"
"Pyramidal Cells","Opioid Receptor","6"
"CA1 field","voltage gated channel","6"
"Structure of zona incerta","Tyrosine 3-Monooxygenase","6"
"Structure of nucleus prepositus","Nerve Growth Factor","6"
"Structure of dentate gyrus","tropomyosin-related kinase-B, human","6"
"Thalamic structure","Cre recombinase","6"
"Basal Ganglia","Transcobalamin","6"
"Prosencephalon","Receptor, Leptin","6"
"Prosencephalon","Calbindins","6"
"Entire medulla oblongata","Dopamine-beta-monooxygenase","6"
"Structure of paraventricular nucleus of thalamus","Tyrosine 3-Monooxygenase","6"
"Cerebral hemisphere structure (body structure)","Cyclic AMP-Responsive DNA-Binding Protein","6"
"Prosencephalon","Bromodeoxyuridine","6"
"Nucleus Accumbens","Arginine Vasopressin-Neurophysin II Preproprotein","6"
"Hypothalamic Area, Lateral","Argipressin","6"
"Genus Hippocampus","Ligand-Gated Ion Channels","6"
"Hypothalamic structure","Calcitonin Receptor","6"
"Purkinje Cells","Proto-Oncogene Proteins c-fos","6"
"Hypothalamic Area, Lateral","Thyrotropin","6"
"Cerebral cortex","Calcium Channel","6"
"Optic tract structure","myelination","6"
"Area striata structure","Proto-Oncogene Proteins c-fos","6"
"Structure of nucleus infundibularis hypothalami","Wheat Germ Agglutinins","6"
"Interpeduncular nucleus","Caffeine","6"
"Pituitary Gland","Immunoglobulins","6"
"Structure of anterior commissure","Brain-Derived Neurotrophic Factor","6"
"Cerebral hemisphere structure (body structure)","Synucleins","6"
"Submedial Nucleus","Chloramphenicol O-Acetyltransferase","6"
"Pineal gland","Calretinin","6"
"Auditory area","Proteins","6"
"CA1 field","Sincalide","6"
"Interpeduncular nucleus","Mitogen-Activated Protein Kinases","6"
"BRAIN, HIPPOCAMPUS","Fibroblast Growth Factor Receptors","6"
"Lateral habenular nucleus","INSR protein, human","6"
"Structure of dentate gyrus","Insulin","6"
"Structure of piriform area","Receptor","6"
"CA3 field","NOS2A protein, human","6"
"Structure of paraventricular nucleus","Undecaprenyl-phosphate galactose-phosphotransferase","6"
"Cerebral hemisphere structure (body structure)","Secretase","6"
"Structure of rubrospinal tract","Nicotinic Receptors","6"
"Brain Stem","Serotonin receptor","6"
"Entire hypophysial stalk","Prolactin","6"
"BRAIN, HIPPOCAMPUS","Recombinant Corticotropin","6"
"Habenula","Oxyhemoglobin","6"
"Medial Septal Nucleus","Interferons","6"
"Midbrain structure","EHMT1 protein, human","6"
"BRAIN, HIPPOCAMPUS","CTTN protein, human","6"
"Neostriatum","Ghrelin","6"
"Corpus striatum structure","Oxytocin","6"
"BRAIN, HIPPOCAMPUS","Bacitracin","6"
"Cerebellar Nuclei","Calbindins","6"
"Structure of area postrema","Y, Neuropeptide","6"
"Medulla Oblongata","Lectin","6"
"Midbrain structure","alanylglutamine","6"
"Substantia nigra structure","Reduced Glutathione","6"
"Central insular sulcus","Retinaldehyde","6"
"Pineal gland","wortmannin","6"
"Prosencephalon","Peroxidases","6"
"BRAIN, HIPPOCAMPUS","Intrinsic factor","6"
"Nucleus fastigii","Tumor Necrosis Factor Receptor 1A","6"
"CA2 field","Glucocorticoid Receptor","6"
"Cerebellum","Dopamine-beta-monooxygenase","6"
"lateral geniculate nucleus","Receptor","6"
"Cerebral hemisphere structure (body structure)","CTSG protein, human","6"
"Prosencephalon","HCRT protein, human","6"
"Hindbrain","Enzymes","6"
"Inferior Colliculus","Monoclonal Antibodies","6"
"Cerebral cortex","alpha-Crystallin B Chain","6"
"Structure of nucleus gracilis","Glycine","6"
"Interpeduncular nucleus","Glucose","6"
"BRAIN, HIPPOCAMPUS","ARID1A protein, human","6"
"BRAIN, HIPPOCAMPUS","EZH2 protein, human","6"
"CA1 field","Caspase-9","6"
"Cerebellum","JNK Mitogen-Activated Protein Kinases","6"
"BRAIN, HIPPOCAMPUS","Gramicidin","6"
"Dorsal Nucleus Raphe","Nitric Oxide Synthase Type I","6"
"Genus Hippocampus","BTB/POZ Domain-Containing Adapter For CUL3-Mediated RhoA Degradation Protein 2","6"
"Amygdaloid structure","Enkephalins","6"
"BRAIN, HIPPOCAMPUS","ADP-Ribosyl Cyclase 1","6"
"Brain Stem","Transforming Growth Factor alpha","6"
"Structure of anterior commissure","Receptor","6"
"Structure of anterior commissure","Gonadorelin","6"
"Laterodorsal tegmental nucleus","Appetite-Regulating Hormone","6"
"Structure of superior olivary nucleus","Glycine","6"
"Superior colliculus of corpora quadrigemina","Peroxidase","6"
"Temporal Lobe","DNA","6"
"Structure of nucleus infundibularis hypothalami","G-Protein-Coupled Receptors","6"
"CA1 field","Albumins","6"
"Area striata structure","TM4SF1 protein, human","6"
"Hypothalamic structure","Associated Protein, FKBP12-Rapamycin","6"
"CA2 field","DNA","6"
"lateral geniculate nucleus","Genes","6"
"Nuclei, Raphe","Genes","6"
"Substantia nigra structure","Growth Associated Protein 43","6"
"Cerebral hemisphere structure (body structure)","Serine","6"
"Genus Hippocampus","Receptor, PAR-1","6"
"BRAIN, HIPPOCAMPUS","Transferrin","6"
"Amygdaloid structure","Caspase-3","6"
"Cerebral cortex","Phenylalanine","6"
"Structure of dentate gyrus","Stathmin","6"
"Hypothalamic structure","Synaptophysin","6"
"Set of basolateral nuclei of amygdala","orexins","6"
"Cerebellar cortex structure","Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","6"
"Cortex, Primary Motor","N-Methylaspartate","6"
"CA1 field","gephyrin","6"
"Structure of suprachiasmatic nucleus","Dopamine D1 Receptor","6"
"Structure of superior central nucleus of pons","Tyrosine 3-Monooxygenase","6"
"Midbrain structure","Oxytocin","6"
"Corpus striatum structure","Appetite-Regulating Hormone","6"
"Lobe, Frontal","Thyrotropin-Releasing Hormone","6"
"Ventral Tegmental Area","Histone Deacetylase 2","6"
"Fimbria of hippocampus","Calretinin","6"
"Cerebellum","Leucine","6"
"Genus Hippocampus","SQSTM1 protein, human","6"
"Hypothalamic structure","Receptors, Histamine H1","6"
"Nuclei, Raphe","Autoreceptors","6"
"Purkinje Cells","Receptor, Cannabinoid, CB2","6"
"BRAIN, HIPPOCAMPUS","Capsid Proteins","6"
"CA1 field","Rolipram","6"
"Linear nucleus","Oxytocin","6"
"BRAIN, HIPPOCAMPUS","Protein Disulfide Isomerase","6"
"Cerebral Peduncle","Nitric Oxide Synthase Type I","6"
"Telencephalon","Calcium","6"
"Medulla Oblongata","PAG protein, human","6"
"CA1 field","CX3CR1 protein, human","6"
"Structure of nucleus infundibularis hypothalami","Motilin","6"
"Cerebral cortex","rosuvastatin","6"
"BRAIN, HIPPOCAMPUS","Silk","6"
"Thalamic structure","Zalcitabine","6"
"Ventral Tegmental Area","Mixed Function Oxygenases","6"
"Corpus striatum structure","Pituitary Hormones, Anterior","6"
