brainregion,disease,mentalprocess
Visual Cortex,Androgen-Insensitivity Syndrome,
Marginal Sulcus,Melkersson-Rosenthal Syndrome,
Cerebral cortex,Bannayan-Riley-Ruvalcaba Syndrome,
Medial Septal Nucleus,Melkersson-Rosenthal Syndrome,
"BRAIN, HIPPOCAMPUS",other psychiatric disorders,
Occipital lobe,Autistic Disorder,
CA2 field,Diseases of inner ear,
Structure of dentate gyrus,Cat-Scratch Disease,
Cerebral cortex,"Lung Diseases, Interstitial",
Brodmann area 21,Norrie disease,
Superior colliculus of corpora quadrigemina,Virus Diseases,
"BRAIN, HIPPOCAMPUS",Carpal Tunnel Syndrome,
Thalamic structure,Ataxia as late effect of cerebrovascular disease,
Temporal Lobe,Prion Diseases,
Visual Cortex,Capillary malformation (disorder),
Allocortex,Neurodegenerative Disorders,
Cerebellar vermis structure,Autism Spectrum Disorders,
Cerebral Ventricles,Tracheal Diseases,
Epithalamic structure,Spinal Cord Diseases,
Dorsal tegmental nucleus,Alzheimer's Disease,
"Bundle, Predorsal",Cushing Syndrome,
Structure of frontal pole,cortex bone disorders,
Periventricular white matter,Sensorineural hearing loss (disorder),
"Nucleus, Ventral Tegmental",Herpes zoster disease,
Neostriatum,Hereditary Neurodegenerative Disorder,
Auditory pathway structure,"Hypertrophic disorder of skin, unspecified",
Olfactory Nerve,Disorder nervous system,
Substantia nigra structure,Alagille Syndrome,
Gigantocellular nucleus,Skin endocrine disorder,
"Cortex, Primary Motor","Niemann-Pick Disease, Type C",
Medulla Oblongata,Kallmann Syndrome,
Inferior olivary nucleus,Diseases of inner ear,
Superior colliculus of corpora quadrigemina,Developmental delay (disorder),
Nucleus of Ansa Lenticularis,Developmental delay (disorder),
Genus Hippocampus,Cat eye syndrome,
Parietal Lobe,Migraine Disorders,
Thalamic structure,Disease of capillaries,
Structure of middle temporal gyrus,Obsessive-Compulsive Disorder,
Primary Auditory Cortex,Carpal Tunnel Syndrome,
Structure of forceps major,Body Dysmorphic Disorders,
CA1 field,Parkinson Disease,
Paratenial Nucleus,Conduct Disorder,
Structure of diencephalon,Cognition Disorders,
"Parahippocampal gyrus, anterior division (PHa)",Depressive disorder,
Orbital cortex,Skin endocrine disorder,
Precentral gyrus,Fetal Alcohol Syndrome,
Left thalamus,Alcohol use disorder,
Set of basolateral nuclei of amygdala,Drug effect disorder,
Thalamic structure,Bipolar Disorder,
"Bundle, Predorsal",Finnish congenital nephrotic syndrome,
Subfascicular nucleus,Mobius Syndrome,
Structure of tectobulbar tract,Diseases of inner ear,
Medial Dorsal Nucleus,Chronic Fatigue Syndrome,
Corpus striatum structure,Opitz-Frias syndrome,
CA1 field,Prediabetes syndrome,
Structure of parieto-occipital fissure,"Disorders, Mental",
Corpus Callosum,Nijmegen Breakage Syndrome,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Down Syndrome,
Gigantocellular nucleus,Parkinsonian Disorders,
lateral amygdalar nucleus,Lupus anticoagulant disorder,
Right precuneus,Obsessive-Compulsive Disorder,
Paraterminal gyrus,Lafora Disease,
Central gray substance of midbrain,Post-Traumatic Stress Disorder,
Insula of Reil,"Disorders, Mental",
CA1 field,"Niemann-Pick Disease, Type C",
Structure of mammillotegmental tract of hypothalamus,Psychotic Disorders,
Structure of medial globus pallidus,Disease Progression,
CA1 field,McCune-Albright Syndrome,
Ventral Tegmental Area,Post-Traumatic Stress Disorder,
Posterior superior ansiform lobule of cerebellum,Marfan Syndrome,
Type 2 vestibular sensory cell,Virus Diseases,
Structure of chorda tympani,cortex bone disorders,
Structure of ventral posteromedial nucleus of thalamus,Vasodilation disorder,
"BRAIN, HIPPOCAMPUS",Immune System Diseases,
Nucleus of Ansa Lenticularis,Virus Diseases,
Cerebral Peduncle,"Stress Disorders, Traumatic",
"Lobe, Frontal",Shprintzen syndrome,
Substantia nigra structure,Inflammatory disorder,
Purkinje Cells,Fucosidase Deficiency Disease,
Visual Cortex,"Late effects of cerebrovascular disease, disturbances of vision",
Cerebrum,Prion Diseases,
Structure of thalamic reticular nucleus,Liver diseases,
Structure of genu of corpus callosum,Obsessive-Compulsive Disorder,
Paratenial Nucleus,Stereotypic Movement Disorder,
Right fusiform gyrus,Autistic Disorder,
Structure of paraventricular nucleus of thalamus,Hodgkin Disease,
Midbrain structure,Tay-Sachs Disease,
Lactotrophs,Pancreatic Diseases,
Structure of superior longitudinal fasciculus,Mesulam Syndrome,
basolateral nucleus of the amygdala,Cerebrovascular Disorders,
Cerebellar Nuclei,"Syndrome, Bloch-Sulzberger",
Internal genu of facial nerve,Kallmann Syndrome,
Triangular Septal Nucleus,Obsessive-Compulsive Disorder,
Structure of tegmental portion of pons,Lafora Disease,
Structure of locus ceruleus,Pick Disease of the Brain,
Neocortex,Behavior Disorders,
Structure of tectobulbar tract,Autistic Disorder,
Cerebral white matter structure,"Stress Disorders, Traumatic",
CA3 field,Premenstrual Dysphoric Disorder,
Structure of cingulate sulcus,Prion Diseases,
Cerebellum,Hereditary Neurodegenerative Disorder,
Structure of thalamic reticular nucleus,Rett Syndrome,
Parahippocampal Gyrus,Depressive disorder,
Structure of commissure of superior colliculus,Cat-Scratch Disease,
Prefrontal Cortex,Conjunctival Diseases,
Cerebral Ventricles,Brain Diseases,
Left temporal pole,Language Disorders,
Inferior parietal lobule,Asperger Syndrome,
Cerebellum,Chronic liver disease,
Structure of ansa lenticularis,Developmental delay (disorder),
Interfascicular Nucleus,Renal glomerular disease,
"Hypothalamus, Anterior",Gilles de la Tourette syndrome,
Planum temporale (PT),Retinal Diseases,
Basal Nucleus of Meynert,Shy-Drager Syndrome,
Prosencephalon,Attention deficit hyperactivity disorder,
Cerebral Ventricles,Pituitary Diseases,
"CA4 Region, Hippocampal",Macrophage Activation Syndrome,
Entire substantia nigra,cortex bone disorders,
Structure of medial preoptic nucleus,Colonic Diseases,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Androgen-Insensitivity Syndrome,
Structure of lateral preoptic nucleus,Spinal Cord Diseases,
Pyramidal Cells,Sensorineural hearing loss (disorder),
Cerebral hemisphere structure (body structure),Fetal Alcohol Spectrum Disorders,
Entire brainstem,Pervasive Development Disorder,
Occipital lobe,Migraine Disorders,
Left intraparietal sulcus,Idiopathic pneumonia syndrome,
Cerebral cortex,Congenital ocular coloboma (disorder),
Brain Stem,Nijmegen Breakage Syndrome,
Orbitofrontal cortex,Aicardi's syndrome,
Basis pontis,Syndrome,
Telencephalon,Renal tubular disorder,
association cortex,Motor Neuron Disease,
Paracentral Thalamic Nucleus,Van der Woude syndrome,
Entire midbrain,Neurodegenerative Disorders,
Entire cerebrum,Fetal Alcohol Syndrome,
Left superior longitudinal fasciculus,Psychotic Disorders,
Left superior frontal gyrus,Pick Disease of the Brain,
Structure of putamen,Dystonia Disorders,
Prosencephalon,Alcoholic Liver Diseases,
Periventricular white matter,Alzheimer's Disease,
Cerebellum,Clinically isolated syndrome,
Occipital lobe,Bipolar I disorder,
Anterodorsal nucleus of thalamus,"Syndrome, Bloch-Sulzberger",
Longitudinal pontine fibers,Obsessive-Compulsive Disorder,
Amygdaloid structure,Stiff-Person Syndrome,
Dorsal Nucleus Raphe,Pancreatic Diseases,
Genus Hippocampus,Demyelinating Diseases,
Cerebrum,CNS disorder,
Medial longitudinal fasciculus,Pontine one and a half syndrome,
Ventral Striatum,Mood Disorders,
Anterodorsal nucleus of thalamus,Meningeal disorder,
Structure of terminal stria nuclei of preoptic region,Chronic myeloproliferative disorder,
Interpeduncular nucleus,Major Depressive Disorder,
Structure of angular gyrus,Hashimoto Disease,
Cerebral hemisphere structure (body structure),Cognition Disorders,
Basal Nucleus of Meynert,Rett Syndrome,
Neostriatum,Mixed anxiety and depressive disorder,
Entire nucleus of intralaminar nuclear group of thalamus,Chronic Fatigue Syndrome,
Structure of fissure of Sylvius,Coffin-Lowry syndrome,
"Fornix, Brain",Functional disorder,
Median eminence of hypothalamus,Metabolic Diseases,
Pontine structure,DISORDERS OF THE OPTIC NERVE,
Cerebellar declive,Meningeal disorder,
Right temporal lobe structure,Motor Neuron Disease,
Corpus Callosum,Mucocutaneous Lymph Node Syndrome,
Retro-olivary cell group,cortex bone disorders,
Limbic System,Pituitary Diseases,
Pyramidal cell of precentral gyrus of cerebral hemisphere,Functional disorder,
Cerebral hemisphere structure (body structure),Sandhoff Disease,
Posterior pretectal nucleus,cortex bone disorders,
Neocortex,Idiopathic Hypereosinophilic Syndrome,
Structure of capsule of red nucleus,neuropathology disease,
Right precentral gyrus,Papillon-Lefevre Disease,
Cerebral cortex,Demyelinating Diseases,
Dentatothalamic tract,Parkinson Disease,
Cerebral cortex,Cardiovascular Diseases,
Brodmann area 18,Parkinson Disease,
Red nucleus structure,Learning Disorders,
CA3 field,Neurodegenerative Disorders,
Pyramidal Cells,Norrie disease,
Neostriatum,"Stress Disorders, Traumatic",
Habenula,Sensitization (disorder),
Visual Cortex,Shy-Drager Syndrome,
Nucleus Accumbens,Tic disorder,
Structure of parieto-occipital fissure,Disease Progression,
Amygdaloid structure,Down Syndrome,
Anterior Nuclear Group,Alzheimer's Disease,
Pars Compacta,Virus Diseases,
Entire gyrus ambiens,cortex bone disorders,
Inferior olivary nucleus,Peroxisomal Disorders,
Caudate nucleus structure,Acute Disease,
Parietal Lobe,Capillary malformation (disorder),
Structure of gyrus ambiens,cortex bone disorders,
Posterior cerebral commissure,Van der Woude syndrome,
Lateral ventricle structure,Disorder of pineal gland,
Dentatothalamic tract,Conduct Disorder,
Pituitary Gland,Communicable Diseases,
sensory cortex,Autism Spectrum Disorders,
Cerebral cortex,Rare Diseases,
Basal Ganglia,Cockayne Syndrome,
Cerebellar cortex structure,Leigh Disease,
Spinothalamic tract of medulla,Brain stem disorder,
Interpeduncular nucleus,Disorder nervous system,
Pineal gland,DISORDERS OF THE OPTIC NERVE,
"Bundle, Predorsal","Stress Disorders, Traumatic",
Internal arcuate tract,Alzheimer's Disease,
Superior colliculus of corpora quadrigemina,"Syndrome, Bloch-Sulzberger",
Thalamic structure,Temporomandibular Joint Dysfunction Syndrome,
CA2 field,Fetal Alcohol Spectrum Disorders,
Entire thalamus,Psychotic Disorders,
Telencephalon,Brain Diseases,
Dentatothalamic tract,Depressive disorder,
association cortex,Gaucher Disease,
association cortex,Down Syndrome,
Limbic System,Stereotypic Movement Disorder,
Entire temporal lobe gyrus,Syndrome,
Right hippocampus,Occlusion of artery (disorder),
Cerebellar vermis structure,"Hamartoma Syndrome, Multiple",
Corpus striatum structure,Idiopathic pneumonia syndrome,
Set of basolateral nuclei of amygdala,Melkersson-Rosenthal Syndrome,
Dorsal Nucleus Raphe,Disease Progression,
Structure of rubrospinal tract,Disease Progression,
Structure of trigeminal nerve spinal tract nucleus,Nose Diseases,
Substantia innominata,Cognition Disorders,
Entire medulla oblongata,Conjunctival Diseases,
Brain Stem,Nicolaides Baraitser syndrome,
Auditory area,Perceptual Disorders,
Pyramidal Cells,Ovarian Diseases,
Structure of paraventricular nucleus of thalamus,Parkinson Disease,
Right caudate nucleus,Parkinson Disease,
Structure of locus ceruleus,Coronary Artery Disease,
"Cortex, Primary Motor",Mohr-Tranebjaerg syndrome,
Posterior Thalamic Nuclei,Sensitization (disorder),
Structure of zona incerta,Sleep Disorders,
Central insular sulcus,Andersen Syndrome,
Structure of angular gyrus,Triglyceride storage disease with ichthyosis,
Purkinje Cells,Hashimoto Disease,
Entire thalamic reticular nucleus,Retinal Diseases,
Ventral Striatum,Shwachman syndrome,
"Hypothalamic Area, Lateral",Parkinson Disease,
Neocortex,Hashimoto Disease,
Genus Hippocampus,Camurati-Engelmann Syndrome,
Structure of nucleus infundibularis hypothalami,Zellweger Syndrome,
Structure of medial mammillary nucleus,DISORDERS OF THE OPTIC NERVE,
Auditory pathway structure,Skin endocrine disorder,
Cerebral cortex,Allan-Herndon-Dudley syndrome,
Structure of fissure of Sylvius,Contact lens overwear syndrome (disorder),
Purkinje Cells,Li-Fraumeni Syndrome,
Dorsal Nucleus Raphe,Liver diseases,
"BRAIN, HIPPOCAMPUS",Congenital absence of kidneys syndrome,
Olfactory Nerve,Lung diseases,
Entire thalamic reticular nucleus,Spinal Cord Diseases,
Structure of genu of corpus callosum,Pervasive Development Disorder,
Cerebral cortex,Chronic myeloproliferative disorder,
CA3 field,Triglyceride storage disease with ichthyosis,
Genus Hippocampus,Disorder of pineal gland,
Parahippocampal Gyrus,Pituitary Diseases,
"Cortex, Primary Motor",neuropathology disease,
CA3 field,Disorder nervous system,
Basal Nucleus of Meynert,Fragile X Syndrome,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Turner Syndrome,
Thalamic structure,Degenerative brain disorder,
Pituitary Gland,Movement Disorders,
Structure of nucleus infundibularis hypothalami,Prune Belly Syndrome,
Telencephalon,Fetal Alcohol Syndrome,
Ventral Tegmental Area,Autistic Disorder,
Cerebrum,Bipolar Disorder,
Lateral ventricle structure,Virus Diseases,
Globus Pallidus,Sequela of disorder,
Substantia nigra structure,Anxiety Disorders,
Insula of Reil,Aicardi's syndrome,
Structure of subthalamic nucleus,"Disorders, Mental",
Midbrain nucleus,Chronic Fatigue Syndrome,
Right cerebral hemisphere,Parkinson Disease,
Medulla Oblongata,Eosinophilic disorder,
Lateral ventricle structure,"Hamartoma Syndrome, Multiple",
Prosencephalon,Tangier Disease,
Cerebrum,Hypertensive disease,
Cerebral Peduncle,Migraine Disorders,
Posterolateral auditory cortex,Inflammatory Bowel Diseases,
Medial Septal Nucleus,"Niemann-Pick Disease, Type C",
Pars Compacta,Autonomic nervous system disorders,
Cerebrum,Alpers' Disease,
Brain Stem,Huntington Disease,
Purkinje Cells,Dyskinetic syndrome,
Structure of subthalamic nucleus,Speech Disorders,
Structure of limitans nucleus,Pituitary Diseases,
Parabrachial Nucleus,Sensitization (disorder),
Midbrain structure,Shy-Drager Syndrome,
Diffuse reticular nucleus,Rett Syndrome,
CA2 field,Norrie disease,
"Cortex, Primary Motor",Acute infectious disease,
Posterior cerebral commissure,Neurotoxicity Syndromes,
Structure of dentate gyrus,Thyroid Diseases,
Visual Cortex,Pendred's syndrome,
Anterodorsal nucleus of thalamus,Mixed anxiety and depressive disorder,
Inferior Colliculus,Alagille Syndrome,
Paleocerebellum,Spinal Cord Diseases,
Motor Cortex,Cat-Scratch Disease,
Structure of nucleus gracilis,Colonic Diseases,
Corpus striatum structure,Mixed anxiety and depressive disorder,
Substantia innominata,Spinal Cord Diseases,
Motor Cortex,Meningeal disorder,
Genus Hippocampus,Parasitic Diseases,
Tectospinal tract of medulla,Rabies (disorder),
Structure of entorhinal cortex,Pervasive Development Disorder,
Structure of tectobulbar tract,Macrophage Activation Syndrome,
Structure of longitudinal cerebral fissure,Disease Progression,
Structure of rhomboidal nucleus of thalamus,Rectal Diseases,
CA1 field,Acute infectious disease,
Structure of suprachiasmatic nucleus,Parkinson Disease,
Structure of fissure of Sylvius,Pituitary Diseases,
Thalamic structure,"Cockayne Syndrome, Type I",
Neostriatum,Substance Withdrawal Syndrome,
Pontine nuclei,neuropathology disease,
Entire temporal lobe gyrus,Alzheimer's Disease,
Genus Hippocampus,motor disorder,
Temporal Lobe,"Cholestasis-edema syndrome, Norwegian type",
Amygdaloid structure,Motor Neuron Disease,
Pyramidal Tracts,Pyramidal tract syndrome,
Motor Cortex,Fetal Alcohol Spectrum Disorders,
Area striata structure,Melkersson-Rosenthal Syndrome,
Pyramidal cell of precentral gyrus of cerebral hemisphere,Down Syndrome,
Amygdaloid structure,Chediak-Higashi Syndrome,
Structure of supramammillary nucleus,Obsessive-Compulsive Disorder,
Corticotroph,Cushing Syndrome,
Pineal gland,Huntington Disease,
Anterior insula,Bipolar Disorder,
Medulla Oblongata,Renal tubular disorder,
Vestibular Nerve,Spinal Cord Diseases,
Structure of zona incerta,Parkinson Disease,
External capsule,Creutzfeldt-Jakob disease,
Subicular complex,Alzheimer's Disease,
Central Dorsal Nucleus,Antisocial Personality Disorder,
Flocculus,Spinal Cord Diseases,
Entire brainstem,"Respiratory Distress Syndrome, Newborn",
Pyramidal Cells,Perceptual Disorders,
Cerebrum,Feline urological syndrome,
Pyramidal Tracts,Sensory Disorders,
Internal capsule posterior limb structure,Spinal Cord Diseases,
Brain Stem,Substance Withdrawal Syndrome,
Structure of dentate gyrus,Virus Diseases,
Pontine structure,"Hypertrophic disorder of skin, unspecified",
Hindbrain,Renal glomerular disease,
"Cortex, Primary Motor",Celiac Disease,
Cerebral cortex,Temporomandibular Joint Dysfunction Syndrome,
Olivocerebellar fibers,Retinal Diseases,
Cerebral cortex,Motor speech disorder,
Neostriatum,Chronic pelvic inflammatory disease of the female pelvic organs AND/OR tissues,
