"brainregion","disease","gene","count"
"Entire olivary body","Hypertrophic disorder of skin, unspecified","MAPT wt Allele","1"
"Dentate nucleus","DISORDERS OF THE OPTIC NERVE","CD69 wt Allele","1"
"Nucleus Accumbens","cortex bone disorders","EPHB2 Gene","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","LAMP1 Gene","1"
"Cerebral cortex","Spinal Cord Diseases","GAST Gene","1"
"Cerebellum","Brain Diseases","AICDA Gene","1"
"Purkinje Cells","Ataxia as late effect of cerebrovascular disease","HTT gene","1"
"Cerebral cortex","Iodine deficiency syndrome","SH2D3C wt Allele","1"
"Genus Hippocampus","Depressive disorder","ADIPOQ wt Allele","1"
"Cerebellum","Motor Neuron Disease","Genes","1"
"Metencephalon","Saethre-Chotzen Syndrome","TWIST1 wt Allele","1"
"Midbrain structure","Spinal Cord Diseases","ARHGEF1 Gene","1"
"Internal capsule of brain","cortex bone disorders","ASAH1 wt Allele","1"
"Genus Hippocampus","cortex bone disorders","TNFAIP1 Gene","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","BMP6 Gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","TFF1 wt Allele","1"
"Gonadotrophs","Pituitary Diseases","NPY wt Allele","1"
"Midbrain structure","Parkinson Disease","CD69 wt Allele","1"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","ELN wt Allele","1"
"Genus Hippocampus","cortex bone disorders","TRIO Gene","1"
"Thalamic structure","Thyroid Diseases","Genes","1"
"Hypothalamic structure","cortex bone disorders","AR gene","1"
"Cerebral hemisphere structure (body structure)","Disorder nervous system","S100B Gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","GST Gene","1"
"Pituitary Stalk","Retinal Diseases","NGFR Gene","1"
"BRAIN, HIPPOCAMPUS","Disease Progression","SQSTM1 Gene","1"
"Cerebellum","Retinal Diseases","CEBPB Gene","1"
"Posterior cerebral commissure","Androgen-Insensitivity Syndrome","PODXL Gene","1"
"Cerebellum","Retinal Diseases","KRT1 Gene","1"
"Cerebral cortex","neuropathology disease","CSF1R Gene","1"
"Anterodorsal nucleus of thalamus","Mild cognitive disorder","CMKLR1 wt Allele","1"
"Genus Hippocampus","Pituitary Diseases","TNC wt Allele","1"
"Cerebral cortex","Pick Disease of the Brain","MAPT wt Allele","1"
"Medial Septal Nucleus","Clinically isolated syndrome","CISH Gene","1"
"Genus Hippocampus","Spinal Cord Diseases","THBD wt Allele","1"
"Nucleus Accumbens","Depressive disorder","GRM5 wt Allele","1"
"Neostriatum","Liver diseases","CAT Gene","1"
"Entire medulla oblongata","Carpal Tunnel Syndrome","TH gene","1"
"Nucleus of Ansa Lenticularis","Alzheimer's Disease","ATG5 Gene","1"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","JUN Gene","1"
"Rostrotemporal auditory area","Post-Traumatic Stress Disorder","MSN Gene","1"
"Internal arcuate tract","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","1"
"Structure of longitudinal cerebral fissure","Anophthalmia Waardenburg syndrome","LTF wt Allele","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ITGAM Gene","1"
"Neostriatum","cortex bone disorders","PRF1 wt Allele","1"
"Prefrontal Cortex","Movement Disorders","PAFAH1B1 wt Allele","1"
"Neostriatum","cortex bone disorders","SIRT1 Gene","1"
"Cerebellum","Creutzfeldt-Jakob Disease, Sporadic","Genes","1"
"Brain Stem","Hereditary Diseases","Genes","1"
"Hypothalamic structure","Chronic myeloproliferative disorder","GNRH1 Gene","1"
"Bundle, Predorsal","Functional disorder","SH3PXD2A wt Allele","1"
"Cerebral hemisphere structure (body structure)","Nail-Patella Syndrome","HNRNPA3 gene","1"
"Genus Hippocampus","Stress Disorders, Traumatic","VEGFA Gene","1"
"Structure of trigeminal nerve spinal tract nucleus","Renal glomerular disease","KLRB1 wt Allele","1"
"Tectum Mesencephali","Retinal Diseases","DHPS wt Allele","1"
"Globus Pallidus","cortex bone disorders","PROC wt Allele","1"
"Entire thalamus","Renal glomerular disease","GNRH1 Gene","1"
"Auditory Hair Cell","Diseases of inner ear","HTATIP wt Allele","1"
"Basal Forebrain","neuropathology disease","MAPT wt Allele","1"
"Right substantia nigra","Dyskinetic syndrome","TH gene","1"
"Pars Compacta","cortex bone disorders","Long Interspersed Element","1"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","PAFAH1B1 Gene","1"
"Paracentral Thalamic Nucleus","Alzheimer's Disease","HTATIP wt Allele","1"
"Lateral ventricle structure","Hamartoma Syndrome, Multiple","Heterozygote","1"
"Cerebral cortex","Pervasive Development Disorder","GRIN2A Gene","1"
"Occipital lobe","Neurodegenerative Disorders","SLC16A1 Gene","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","EXTL3 wt Allele","1"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","MBL2 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","LEP wt Allele","1"
"Ventral Posterior Nucleus","Uterine Diseases","OXT Gene","1"
"Nucleus solitarius","Renal glomerular disease","KLRB1 Gene","1"
"Neostriatum","Huntington Disease","FGF1 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SLC4A1 wt Allele","1"
"Nucleus of anterior commissure","Leigh Disease","NLRP1 wt Allele","1"
"Bundle, Predorsal","Huntington Disease","CTSD Gene","1"
"Hypothalamic Area, Lateral","Sequela of disorder","PLOD1 gene","1"
"Amygdaloid structure","Disease Progression","CFC1 wt Allele","1"
"Linear nucleus","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","1"
"Cerebellum","cortex bone disorders","ATP8A2 wt Allele","1"
"Medulla Oblongata","Spinal Cord Diseases","ATM wt Allele","1"
"Structure of nucleus gracilis","Functional disorder","DENR wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","IKZF2 wt Allele","1"
"Area, Septal","cortex bone disorders","Wild Type","1"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","SLC12A2 wt Allele","1"
"Central insular sulcus","Post-Traumatic Stress Disorder","KHDRBS1 wt Allele","1"
"Triangular Septal Nucleus","Hamartoma Syndrome, Multiple","ADRB2 Gene","1"
"Rostrotemporal auditory area","Alzheimer's Disease","SQSTM1 wt Allele","1"
"Inferior Colliculus","Peripheral Arterial Diseases","TG wt Allele","1"
"Entire medulla oblongata","Spinal Cord Diseases","PCNA Gene","1"
"Genus Hippocampus","Bloom Syndrome","PITX2 wt Allele","1"
"Pineal gland","Diseases of external ear","BRCA1 wt Allele","1"
"Thalamic structure","Spinal Cord Diseases","RPL5 wt Allele","1"
"Structure of central sulcus","Liver diseases","Homozygote","1"
"Marginal Sulcus","Alzheimer's Disease","MAP3K14 wt Allele","1"
"Paraflocculus","cortex bone disorders","HCRT wt Allele","1"
"Cerebral cortex","cortex bone disorders","Promoter","1"
"Amygdaloid structure","Stress Disorders, Traumatic","CD69 wt Allele","1"
"Structure of genu of corpus callosum","Williams Syndrome","ATP2A2 wt Allele","1"
"Interpeduncular nucleus","Stiff-Person Syndrome","SDHB wt Allele","1"
"Telencephalon","Van der Woude syndrome","IRF6 wt Allele","1"
"Neocortex","Renal glomerular disease","KLRB1 wt Allele","1"
"Structure of thalamic reticular nucleus","Post-Traumatic Stress Disorder","MSN Gene","1"
"Pituitary Gland","Functional disorder","MAP3K14 wt Allele","1"
"Medulla Oblongata","Bloom Syndrome","FASTK Gene","1"
"Structure of fissure of Sylvius","Contact lens overwear syndrome (disorder)","CAT Gene","1"
"Ventral Tegmental Area","cortex bone disorders","CRHR1 wt Allele","1"
"Lobe, Frontal","Parkinson Disease","SOD2 Gene","1"
"External nucleus of inferior colliculus","Papillon-Lefevre Disease","MTR wt Allele","1"
"Cerebral cortex","Autistic Disorder","RTN4 wt Allele","1"
"Paracentral Thalamic Nucleus","Chimera (disorder)","KRT17 wt Allele","1"
"Corpus striatum structure","Pervasive Development Disorder","Wild Type","1"
"BRAIN, HIPPOCAMPUS","Depressive disorder","FKBP5 Gene","1"
"Cerebellum","Liver diseases","Chloramphenicol O-Acetyltransferase","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","HGS wt Allele","1"
"Paracentral Thalamic Nucleus","Virus Diseases","PROC Gene","1"
"Structure of reticular formation of medulla oblongata","Spinal Cord Diseases","C5 Gene","1"
"Cortex, Primary Motor","Movement Disorders","YWHAE wt Allele","1"
"Midbrain structure","Lewy Body Disease","MAPT wt Allele","1"
"Parolfactory area structure (body structure)","Machado-Joseph Disease","PROC Gene","1"
"Planum polare (PP)","Spinal Cord Diseases","MAPT wt Allele","1"
"Planum temporale (PT)","Conduct Disorder","HLA-DQA1 wt Allele","1"
"Cerebral hemisphere structure (body structure)","Gaucher Disease","Heterozygote","1"
"Hypothalamic Area, Lateral","Spinal Cord Diseases","BRD4 Gene","1"
"BRAIN, HIPPOCAMPUS","Disease Progression","IL23A wt Allele","1"
"Cerebral cortex","Sexually Transmitted Diseases","SH2D1A gene","1"
"Cerebral cortex","Retinal Diseases","FSCN1 wt Allele","1"
"Medial nucleus of habenula","cortex bone disorders","Genes","1"
"Anterodorsal nucleus of thalamus","Post-Traumatic Stress Disorder","SLC6A4 wt Allele","1"
"Bundle, Predorsal","Parkinson Disease","SLC6A4 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Syndrome","BIRC5 wt Allele","1"
"Prefrontal Cortex","Disorders, Mental","DKK1 wt Allele","1"
"Entire medial geniculate body","cortex bone disorders","SILV wt Allele","1"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","PROC Gene","1"
"Corpus Callosum","DISORDERS OF THE OPTIC NERVE","PLP1 gene","1"
"CA1 field","CNS disorder","GRP Gene","1"
"Gonadotrophs","Uterine Diseases","EDNRA wt Allele","1"
"Corpus striatum structure","Syndrome, Bloch-Sulzberger","MPZ gene","1"
"Paracentral Thalamic Nucleus","Peripheral Arterial Diseases","PODXL wt Allele","1"
"Structure of nucleus prepositus","Prion Diseases","INSR Gene","1"
"Olfactory Cortex","cortex bone disorders","Long Interspersed Element","1"
"Bundle, Predorsal","Parkinson Disease","TP63 wt Allele","1"
"Cerebrum","Hypertensive disease","MRC1 Gene","1"
"Cerebellar Nuclei","cortex bone disorders","CAT Gene","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","OCA2 gene","1"
"Corpus striatum structure","Hamartoma Syndrome, Multiple","PYCARD Gene","1"
"Posterior cerebral commissure","Acute Disease","PODXL wt Allele","1"
"Genus Hippocampus","neuropathology disease","Genes","1"
"Tectopontine fibers","neuropathology disease","TMPO wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CD247 Gene","1"
"Cerebellum","Fetal Alcohol Syndrome","FASN wt Allele","1"
"Structure of capsule of red nucleus","Parkinson Disease","HTT gene","1"
"Cerebellum","Disorder nervous system","Homozygote","1"
"Entire basal nuclei","cortex bone disorders","POMC Gene","1"
"Hypothalamic Area, Lateral","Pituitary Diseases","AKT1S1 wt Allele","1"
"Corpus striatum structure","Disease Progression","HTT gene","1"
"Tectospinal tract of medulla","Lung diseases","TYMS wt Allele","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","PXN Gene","1"
"Structure of anterior commissure","Parkinson Disease","HP wt Allele","1"
"Lobe, Frontal","Lewy Body Disease","PRNP gene","1"
"Lobe, Frontal","Alzheimer's Disease","ABCB6 wt Allele","1"
"Nucleus Accumbens","cortex bone disorders","NR4A3 wt Allele","1"
"Anterodorsal nucleus of thalamus","Stress Disorders, Traumatic","CISH Gene","1"
"lateral amygdalar nucleus","Chromosome 11p11.2 Deletion Syndrome","TRIM21 Gene","1"
"Cerebellum","Mowat-Wilson syndrome","GEMIN2 wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NFIA wt Allele","1"
"Hypothalamic structure","Ovarian Diseases","KLRB1 wt Allele","1"
"Cerebral cortex","Spinal Cord Diseases","CD8A Gene","1"
"Marginal Sulcus","cortex bone disorders","ASAH1 Gene","1"
"Cerebral cortex","Functional disorder","CISH Gene","1"
"Posterior cerebral commissure","Gardner Syndrome","PAG1 wt Allele","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","TNFRSF1A wt Allele","1"
"Structure of commissure of superior colliculus","Pituitary Diseases","NR3C2 Gene","1"
"Pituitary Gland","Feline urological syndrome","TARDBP wt Allele","1"
"Red nucleus structure","Spinal Cord Diseases","CDKN1A wt Allele","1"
"Structure of medial preoptic nucleus","Lung diseases","TNF Gene","1"
"Motor Cortex","Fetal Alcohol Syndrome","Genes","1"
"Purkinje Cells","Hamartoma Syndrome, Multiple","HP Gene","1"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","CCR5 gene","1"
"Inferior olivary nucleus","Retinal Diseases","SILV wt Allele","1"
"mossy fiber","cortex bone disorders","UBC Gene","1"
"Brain Stem","Spinal Cord Diseases","CNR1 gene","1"
"Corpus striatum structure","Disorder of olfactory system","SLC1A2 Gene","1"
"Marginal Sulcus","Van der Woude syndrome","MAP1LC3A wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Cyclic AMP Response Element","1"
"Lateral ventricle structure","Alzheimer's Disease","RANGAP1 wt Allele","1"
"Metencephalon","Neurodevelopmental disorder","MET wt Allele","1"
"Genus Hippocampus","Autism Spectrum Disorders","Genes","1"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","CANX wt Allele","1"
"Posterior cerebral commissure","Depressive disorder","DCN Gene","1"
"Entire hippocampus","cortex bone disorders","SLC40A1 gene","1"
"Cerebral Ventricles","Hamartoma Syndrome, Multiple","CPE Gene","1"
"Brodmann area 12","Movement Disorders","YWHAE wt Allele","1"
"BRAIN, HIPPOCAMPUS","Williams Syndrome","RANGAP1 wt Allele","1"
"Pyramidal Cells","cortex bone disorders","GRM5 Gene","1"
"Structure of fissure of Sylvius","Williams Syndrome","FST wt Allele","1"
"Basal Forebrain","cortex bone disorders","MTR Gene","1"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","Genes","1"
"CA1 field","Alzheimer's Disease","LTA wt Allele","1"
"Cerebral cortex","Neurotoxicity Syndromes","C3 Gene","1"
"Limbic System","Timothy syndrome","TYMS Gene","1"
"Neocortex","Syndrome","SOD2 Gene","1"
"Interpeduncular nucleus","Functional disorder","FGFR1 wt Allele","1"
"Ependyma","cortex bone disorders","NCAM1 wt Allele","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","SYP Gene","1"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","PRRT2 wt Allele","1"
"Thalamic structure","Neurotoxicity Syndromes","AR wt Allele","1"
"Cerebellum","Timothy syndrome","DYRK1A Gene","1"
"Neostriatum","Niemann-Pick Disease, Type C","ESR1 wt Allele","1"
"Cerebral cortex","Syndrome","UBA2 wt Allele","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CALM1 wt Allele","1"
"Internal capsule of brain","Menkes Kinky Hair Syndrome","ATP7A wt Allele","1"
"Structure of angular gyrus","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","1"
"Marginal Sulcus","Disorder nervous system","IFNAR1 Gene","1"
"Nucleus, Anterior Olfactory","cortex bone disorders","F3 Gene","1"
"CA1 field","Alzheimer's Disease","Genes","1"
"Pituitary Gland, Posterior","Skin endocrine disorder","GNRH1 wt Allele","1"
"Ependyma","cortex bone disorders","SQSTM1 Gene","1"
"Neostriatum","Ataxia as late effect of cerebrovascular disease","DCX gene","1"
"Amygdaloid structure","Sweet Syndrome","DLG4 Gene","1"
"Genus Hippocampus","Spinal Cord Diseases","DDIT3 wt Allele","1"
"Structure of trigeminal nerve spinal tract nucleus","Spinal Cord Diseases","NGFR Gene","1"
"Parolfactory area structure (body structure)","Machado-Joseph Disease","PROC wt Allele","1"
"Amygdaloid structure","Seasonal Affective Disorder","MET Gene","1"
"Midbrain structure","Bloom Syndrome","MTR wt Allele","1"
"Neocortex","Hypertrophic disorder of skin, unspecified","Wild Type","1"
"Bundle, Predorsal","Huntington Disease","HLA-G Gene","1"
"Structure of inferior central nucleus of pons","Lung diseases","GAST wt Allele","1"
"Purkinje Cells","Neurodegenerative Disorders","estrogen receptor alpha, human","1"
"Cerebral hemisphere structure (body structure)","Hereditary Diseases","Trinucleotide Repeats","1"
"Neostriatum","cortex bone disorders","BAG3 wt Allele","1"
"Structure of subiculum hippocampi","Bipolar Disorder","SST Gene","1"
"Cerebral cortex","Mild cognitive disorder","PLAT wt Allele","1"
"Neostriatum","cortex bone disorders","REG3A wt Allele","1"
"Structure of piriform area","McCune-Albright Syndrome","MAS1 wt Allele","1"
"Amygdaloid structure","Pituitary Diseases","CRH Gene","1"
"Genus Hippocampus","Neurotoxicity Syndromes","ATP8A2 wt Allele","1"
"Longitudinal pontine fibers","Basal Ganglia Diseases","TBX4 wt Allele","1"
"Structure of thalamic reticular nucleus","Stress Disorders, Traumatic","SQSTM1 Gene","1"
"Structure of Forel's H2 bundle","Bipolar Disorder","Genes","1"
"Pituitary cell","Pallister-Hall syndrome","KNG1 Gene","1"
"Melanotrophs","Pituitary Diseases","Genes","1"
"Cerebral cortex","Disease Progression","Tumor Necrosis Factor-alpha","1"
"Linear nucleus","Spinal Cord Diseases","PAPOLA wt Allele","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","EREG wt Allele","1"
"Genus Hippocampus","cortex bone disorders","TRPC4 Gene","1"
"Structure of anterior hypothalamic nucleus","Shwachman syndrome","MAPT wt Allele","1"
"Caudate nucleus structure","Alzheimer's Disease","NGF Gene","1"
"Genus Hippocampus","Alzheimer's Disease","Receptor Gene","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","AICDA Gene","1"
"Nucleus fastigii","Alzheimer's Disease","FAS Gene","1"
"CA2 field","Alzheimer's Disease","MAPT wt Allele","1"
"Prosencephalon","cortex bone disorders","GRIN2B wt Allele","1"
"Pineal gland","Parkinson Disease","TNFRSF10B wt Allele","1"
"Prefrontal Cortex","Hereditary Diseases","HSPA5 wt Allele","1"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","PLAGL2 Gene","1"
"Gonadotrophs","Pituitary Diseases","MAPK1 wt Allele","1"
"Cerebellum","Bipolar Disorder","Genes","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SLC18A2 Gene","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","S100A9 wt Allele","1"
"Corpus striatum structure","Functional disorder","PEA15 wt Allele","1"
"Midbrain structure","Spinal Cord Diseases","RPL22 Gene","1"
"Gyrus Cinguli","cortex bone disorders","CAT Gene","1"
"BRAIN, HIPPOCAMPUS","Shprintzen syndrome","Wild Type","1"
"Genus Hippocampus","cortex bone disorders","STS wt Allele","1"
"Central insular sulcus","Huntington Disease","VCL Gene","1"
"Structure of medulla oblongata fasciculus cuneatus","Depressive disorder","BAI1 Gene","1"
"Nucleus solitarius","Spinal Cord Diseases","Chloramphenicol O-Acetyltransferase","1"
"Midbrain and pons","Disease Progression","TPO wt Allele","1"
"Anterodorsal nucleus of thalamus","Disease Progression","APOE gene","1"
"Cerebral cortex","cortex bone disorders","WNT2B Gene","1"
"Brain Stem","Spinal Cord Diseases","NTRK2 Gene","1"
"Lateral geniculate complex","cortex bone disorders","KITLG wt Allele","1"
"Cerebral cortex","Autism Spectrum Disorders","OXT Gene","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","STS wt Allele","1"
"Cerebellum","Neurotoxicity Syndromes","NDOR1 wt Allele","1"
"Bundle, Predorsal","Lysosomal Storage Diseases","CTSB Gene","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","NLRP3 Gene","1"
"Structure of locus ceruleus","Mild cognitive disorder","PSEN1 gene","1"
"Lateral geniculate complex","cortex bone disorders","HGF wt Allele","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","OCA2 gene","1"
"Amygdaloid structure","cortex bone disorders","MYCBP2 wt Allele","1"
"Corticotroph","Pituitary Diseases","NR3C1 Gene","1"
"Pituitary Gland","Thyroid Diseases","TRH wt Allele","1"
