"brainregion","disease","mental","count"
"Amygdaloid structure","Melkersson-Rosenthal Syndrome","Mental concentration","1"
"Cerebral hemisphere structure (body structure)","Cerebral Small Vessel Diseases","Learning","1"
"Insula of Reil","Compulsive Personality Disorder","Compulsive Personality Disorder","1"
"Nuclei, Raphe","Depressive disorder","Suicide attempt","1"
"Pyramidal Cells","Pituitary Diseases","Social Role","1"
"Prefrontal Cortex","Disorders, Mental","Fear","1"
"Prosencephalon","Functional disorder","Interested","1"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","Awareness","1"
"Substantia Nigra Pars Reticulata","Dyskinetic syndrome","Social Role","1"
"CA1 field","Prune Belly Syndrome","Communication Response","1"
"Optic Chiasms","DISORDERS OF THE OPTIC NERVE","Visual Acuity","1"
"Entire medulla oblongata","cortex bone disorders","Feeding Activity","1"
"Structure of central sulcus","Liver diseases","Emotional Strain","1"
"BRAIN, HIPPOCAMPUS","Werner Syndrome","Communication Response","1"
"Posterolateral auditory cortex","cortex bone disorders","Coitus","1"
"Structure of superior temporal sulcus","Hamartoma Syndrome, Multiple","Incentives","1"
"Structure of optic radiation","Retinal Diseases","Mental association","1"
"Structure of piriform area","Neurotoxicity Syndromes","Availability of","1"
"central amygdalar nucleus","Disorders, Mental","Emotions","1"
"Cerebral cortex","Functional disorder","Psychological suppression","1"
"Cerebral cortex","Obsessive-Compulsive Disorder","Psychological inhibition","1"
"Cerebellum","Autistic Disorder","Stereotyped Behavior","1"
"Area striata structure","Adult Fanconi syndrome","psychological orientation","1"
"Structure of hippocampal fissure","Attention Deficit Disorder","Interested","1"
"Structure of cingulum","Autism Spectrum Disorders","Emotions","1"
"Prosencephalon","cortex bone disorders","Spatial Memory","1"
"intercalated amygdalar nuclei","Dystonia Disorders","Psychological inhibition","1"
"Midbrain structure","Parkinsonian Disorders","Motivation","1"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Period, Critical (Psychology)","1"
"Medial Septal Nucleus","Disease Progression","Social Role","1"
"Entire spiral ganglion","Diseases of inner ear","Social Role","1"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","Involvement with","1"
"Right putamen","Seasonal Affective Disorder","Sex Behavior","1"
"Cerebral cortex","Diseases of inner ear","Projection Defense Mechanism","1"
"Auditory area","Spinal Cord Diseases","Psychological inhibition","1"
"Posterior cerebral commissure","Functional disorder","Social Role","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","memory process","1"
"Orbitofrontal cortex","cortex bone disorders","smell perception","1"
"Prefrontal Cortex","Functional disorder","Emotional Strain","1"
"Pyramidal Cells","Motor Neuron Disease","Involvement with","1"
"Basal Forebrain","Disease Progression","Play","1"
"Hypothalamic Area, Lateral","Spinal Cord Diseases","Pain","1"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Hope","1"
"Thalamic structure","Movement Disorders","Communication Response","1"
"Cerebral cortex","Attention deficit hyperactivity disorder","Memory impairment","1"
"Dorsal Nucleus Raphe","Huntington Disease","DEPRESSION MENTAL","1"
"Cerebellum","Depressive disorder","Memory","1"
"CA1 field","Attention Deficit Disorder","Social Role","1"
"Cerebral cortex","Down Syndrome","Abnormal behavior","1"
"Genus Hippocampus","Sleep Apnea Syndromes","Experience","1"
"Caudate nucleus structure","Parkinsonian Disorders","Like","1"
"Nucleus Accumbens","Depressive disorder","Psychological inhibition","1"
"Structure of paraventricular nucleus of thalamus","Prune Belly Syndrome","Psychological inhibition","1"
"Structure of medial preoptic nucleus","Spinal Cord Diseases","Increased Libido","1"
"Ventral Tegmental Area","Functional disorder","Cognition","1"
"CA1 field","Alzheimer's Disease","Mental association","1"
"Anterodorsal nucleus of thalamus","Huntington Disease","Mental concentration","1"
"Cerebral cortex","Autism Spectrum Disorders","Social Skills","1"
"Structure of dentate gyrus","Alzheimer's Disease","Memory impairment","1"
"Medulla Oblongata","Parkinson Disease","Feeling content","1"
"Flocculus","Functional disorder","Attribution","1"
"Nucleus Accumbens","Hashimoto Disease","Withdrawal","1"
"Structure of locus ceruleus","Functional disorder","Suicide","1"
"Claustral structure","cortex bone disorders","Social Role","1"
"Basal Ganglia","Gilles de la Tourette syndrome","Hyperactive behavior","1"
"Structure of subthalamic nucleus","Obsessive-Compulsive Disorder","Psychological inhibition","1"
"Lobe, Frontal","Recurrent disease","Ethanol","1"
"Structure of rubrospinal tract","Depressive disorder","Cocaine","1"
"Cingulate Cortex","Bipolar Disorder","Manic","1"
"Temporal Lobe","Ataxia as late effect of cerebrovascular disease","Seizures","1"
"Pituitary Gland","Empty Sella Syndrome","Learning","1"
"Globus Pallidus","Dystonia Disorders","Interested","1"
"Midbrain structure","Obsessive-Compulsive Disorder","Social Role","1"
"Structure of suprachiasmatic nucleus","Disorder of pineal gland","Disputes","1"
"Pyramidal Cells","Neurotoxicity Syndromes","Communication Response","1"
"Lateral geniculate complex","Retinal Diseases","Feedback - system communication","1"
"Corpus striatum structure","Huntington Disease","Interested","1"
"Dorsal Nucleus Raphe","Bipolar Disorder","Unipolar Depression","1"
"Medial nucleus of habenula","Muckle-Wells Syndrome","Unipolar Depression","1"
"Genus Hippocampus","Stress Disorders, Traumatic, Acute","Cognition","1"
"Cerebral hemisphere structure (body structure)","Functional disorder","Learning","1"
"Amygdaloid structure","Panic Disorder","Fear","1"
"Parietal Lobe","Functional disorder","Behavior","1"
"Cerebellum","Autoimmune Diseases","Social Role","1"
"Cerebral hemisphere structure (body structure)","Alcohol withdrawal syndrome","Ethanol","1"
"Inferior Colliculus","Testicular Diseases","Behavior","1"
"Cerebellum","Angelman Syndrome","Psychological inhibition","1"
"Ventral Tegmental Area","Syndrome, Bloch-Sulzberger","Communication Response","1"
"Prosencephalon","Nose Diseases","smell perception","1"
"Hypothalamic structure","Ovarian Diseases","DEPRESSION MENTAL","1"
"Entire medulla oblongata","Spinal Cord Diseases","Like","1"
"Cerebral hemisphere structure (body structure)","Functional disorder","Conscious","1"
"Prefrontal Cortex","Williams Syndrome","Autistic Disorder","1"
"Amygdaloid structure","Pituitary Diseases","Spatial Memory","1"
"Structure of locus ceruleus","Disorders, Mental","Psychological inhibition","1"
"Nucleus Accumbens","Functional disorder","Drug Dependence","1"
"Cerebral cortex","Syndrome","Obsessive compulsive behavior","1"
"Lateral Septal Nucleus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","1"
"Pyramidal Cells","Storage disease","Social Role","1"
"Pyramidal Cells","neuropathology disease","Social isolation","1"
"Lateral Septal Nucleus","cortex bone disorders","psychological orientation","1"
"Basal Ganglia","Dystonia Disorders","Consensus","1"
"Structure of dentate gyrus","Depressive disorder","Psychological suppression","1"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","Verbal impairment","1"
"Structure of diencephalon","Spinal Cord Diseases","Pain","1"
"Pyramidal Cells","cortex bone disorders","Binge Drinking","1"
"Prefrontal Cortex","Stress Disorders, Traumatic","Emotions","1"
"Central insular sulcus","Post-Traumatic Stress Disorder","Transsexual (finding)","1"
"Neostriatum","cortex bone disorders","Psychological suppression","1"
"Genus Hippocampus","cortex bone disorders","Emotional Strain","1"
"Structure of lateral olfactory gyrus","Motor Neuron Disease","Behavior","1"
"Cerebellum","Timothy syndrome","Gilles de la Tourette syndrome","1"
"Median eminence of hypothalamus","Skin endocrine disorder","Communication Response","1"
"Cerebellar vermis structure","Nystagmus associated with disorder of the vestibular system","Eye Movements","1"
"BRAIN, HIPPOCAMPUS","Adrenal Cushing's syndrome","Like","1"
"Hindbrain","Pituitary Diseases","Behavior","1"
"Cerebral cortex","Neurotoxicity Syndromes","Physical Contact","1"
"Pituitary Gland","Post-Traumatic Stress Disorder","Communication Response","1"
"Corpus striatum structure","cortex bone disorders","Coitus","1"
"Structure of locus ceruleus","Sensitization (disorder)","Stress","1"
"Entire posterior limb of internal capsule","Spinal Cord Diseases","Affection","1"
"Structure of lateral olfactory gyrus","cortex bone disorders","Conditionings (Psychology)","1"
"Basal Ganglia","Creutzfeldt-Jakob disease","Consensus","1"
"Corpus Callosum","Alzheimer's Disease","Mental association","1"
"Dorsal Nucleus Raphe","Metabolic Diseases","Like","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Availability of","1"
"BRAIN, HIPPOCAMPUS","Neurodevelopmental disorder","Learning","1"
"Cerebral cortex","Functional disorder","Experience","1"
"Structure of rubrospinal tract","Pervasive Development Disorder","DEPRESSION MENTAL","1"
"Cerebral cortex","Shy-Drager Syndrome","Impaired cognition","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Avoidance Learning","1"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","unresponsive behavior","1"
"Bundle, Predorsal","Parkinson Disease","Tremor","1"
"Auditory area","Hamartoma Syndrome, Multiple","Communication Response","1"
"Structure of superior temporal sulcus","Autistic Disorder","Feeding Activity","1"
"Structure of mammillotegmental tract of hypothalamus","Seasonal Affective Disorder","Awareness","1"
"Subthalamic structure","Spinal Cord Diseases","At risk for impaired skin integrity","1"
"Midbrain structure","Dyskinetic syndrome","Akinesia","1"
"Structure of olfactory bulb","Renal glomerular disease","Sensory Deprivation","1"
"Presubiculum","Disorders, Mental","Abnormal behavior","1"
"External capsule","Fetal Alcohol Syndrome","Running","1"
"Genus Hippocampus","Skin endocrine disorder","Impaired cognition","1"
"Neocortex","Disorders, Mental","Experience","1"
"Structure of rubrospinal tract","Van der Woude syndrome","competition","1"
"CA1 field","Autism Spectrum Disorders","Anxiety","1"
"Auditory Hair Cell","Sensorineural hearing loss (disorder)","Psychological inhibition","1"
"Hindbrain","Spinal Cord Diseases","cooperation","1"
"Limbic System","Mood Disorders","Addictive Behavior","1"
"Lateral Dorsal Nucleus","Van der Woude syndrome","Involvement with","1"
"Entire lateral geniculate body","Retinal Diseases","Feedback - system communication","1"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Cognition","1"
"Central Dorsal Nucleus","Retinal Diseases","Involvement with","1"
"Hypothalamic structure","Pituitary Diseases","Emotional Stress","1"
"Cerebral cortex","Mild cognitive disorder","Sets (Psychology)","1"
"Structure of terminal stria nuclei of preoptic region","Mood Disorders","Alcohol consumption","1"
"Cerebral cortex","Accommodation phosphene (disorder)","Communication Response","1"
"Area striata structure","Retinal Diseases","Space Perception","1"
"Cerebral cortex","Down Syndrome","Executive Function","1"
"Genus Hippocampus","Brain Diseases","Cognitive information processing","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Eating","1"
"Structure of lateral globus pallidus","Functional disorder","Involvement with","1"
"Gyrus Cinguli","Fragile X Syndrome","Impaired cognition","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Social Interaction","1"
"Structure of olfactory bulb","Renal glomerular disease","Conditioning, Classical","1"
"Visual Cortex","cortex bone disorders","Spatial Memory","1"
"Structure of dentate gyrus","cortex bone disorders","Attention","1"
"Globus Pallidus","Parkinson Disease","Availability of","1"
"Entire hippocampus","Functional disorder","Behavior","1"
"Temporal Lobe","Developmental Coordination Disorder","Memory","1"
"Cerebral cortex","cortex bone disorders","Suicide","1"
"Cerebellum","Cerebellar Diseases","Attention","1"
"Basal Forebrain","Renal glomerular disease","Projection Defense Mechanism","1"
"Medulla Oblongata","Conjunctival Diseases","Communication Response","1"
"Structure of terminal stria nuclei of preoptic region","Depressive disorder","Chronic pain","1"
"Cerebral cortex","Functional disorder","Akinesia","1"
"Purkinje Cells","Fetal Alcohol Spectrum Disorders","Ethanol","1"
"Internal capsule anterior limb structure","Aicardi's syndrome","Decision Making","1"
"Cerebellum","Von Hippel-Lindau Syndrome","Social Role","1"
"Basal Ganglia","Parkinson Disease","Psychological Transfer","1"
"Nucleus Accumbens","cortex bone disorders","Motivation","1"
"Structure of reticular formation of medulla oblongata","Spinal Cord Diseases","Social Role","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Victim of abuse (finding)","1"
"Structure of paraventricular nucleus of thalamus","Disorders, Mental","Anxiety","1"
"Entire substantia nigra","Parkinsonian Disorders","Behavioral Symptoms","1"
"Interpeduncular nucleus","Neurotoxicity Syndromes","Like","1"
"Hypothalamic structure","Stress Disorders, Traumatic","DEPRESSION MENTAL","1"
"Cerebellum","Parkinson Disease","Consensus","1"
"CA3 field","cortex bone disorders","Helplessness, Learned","1"
"Somatosensory Cortex","Fetal Alcohol Spectrum Disorders","Sensory Process","1"
"BRAIN, HIPPOCAMPUS","Arteriopathic disease","Memory","1"
"Nucleus solitarius","Skin endocrine disorder","biological adaptation to stress","1"
"Entire lateral geniculate body","cortex bone disorders","Sensory Deprivation","1"
"Somatosensory Cortex","Myeloproliferative Syndrome, Transient","Projection Defense Mechanism","1"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","smell perception","1"
"Substantia nigra structure","cortex bone disorders","Pain","1"
"Structure of locus ceruleus","Prader-Willi Syndrome","Pain","1"
"Bundle, Predorsal","Parkinson Disease","Mental Processes","1"
"Medulla Oblongata","Functional disorder","Deglutition","1"
"Cerebral cortex","Recurrent disease","Cocaine","1"
"Tuberomammillary Nucleus","cortex bone disorders","Behavior","1"
"Substantia nigra structure","Herpes zoster disease","Perseveration","1"
"Bundle, Predorsal","Parkinson Disease","Forgetful","1"
"Habenula","Major Depressive Disorder","Like","1"
"Prefrontal Cortex","Pervasive Development Disorder","Behavior","1"
"Structure of nucleus infundibularis hypothalami","Pica Disease","Eating","1"
"Cerebral hemisphere structure (body structure)","Neurodevelopmental disorder","Autistic Disorder","1"
"Structure of nucleus gracilis","Melkersson-Rosenthal Syndrome","Mental concentration","1"
"Amygdaloid structure","cortex bone disorders","Feedback - evaluative response process","1"
"Nucleus Accumbens","Neurodevelopmental disorder","Social Role","1"
"Hypothalamic Area, Lateral","cortex bone disorders","Cognitive information processing","1"
"Linear nucleus","Mood Disorders","Manic","1"
"Commissural nucleus of vagus nerve","Colonic Diseases","Behavior","1"
"Ventral Tegmental Area","Behavior Disorders","Abnormal behavior","1"
"Basal Nucleus of Meynert","cortex bone disorders","Mental association","1"
"Substantia nigra structure","Attention deficit hyperactivity disorder","Projection Defense Mechanism","1"
"Cerebral cortex","Adult Fanconi syndrome","Communication Response","1"
"Cerebellum","Leigh Disease","Feedback - system communication","1"
"Entire nucleus of anterior nuclear group of thalamus","Stereotypic Movement Disorder","Stereotyped Behavior","1"
