"protein","disease","count"
"AKAP13 protein, human","Macrophage Activation Syndrome","2"
"Menin","Mucocutaneous Lymph Node Syndrome","2"
"Heme","Alzheimer's Disease","2"
"Mycophenolic Acid","Burnett Schwartz Berberian syndrome","2"
"Melanins","Acquired Immunodeficiency Syndrome","2"
"Saffron stain","Disease Progression","2"
"Receptors, Opioid, kappa","Pituitary Diseases","2"
"Glutamate Receptor","neuropathology disease","2"
"Neurotransmitter Receptor","Alzheimer's Disease","2"
"Serum Albumin, Bovine","Prune Belly Syndrome","2"
"CD8 Antigen, Beta Polypeptide 1","Demyelinating Diseases","2"
"Protein S","Myeloproliferative Syndrome, Transient","2"
"Lamivudine","Neurodegenerative Disorders","2"
"Polyclonal antibody","Creutzfeldt-Jakob disease","2"
"Cytosolic Phospholipase A2","Alzheimer's Disease","2"
"Ribonuclease Inhibitor","Major Depressive Disorder","2"
"Interferon Alpha, Human","Gilles de la Tourette syndrome","2"
"NOS1 protein, human","Recurrent disease","2"
"Mullerian duct inhibiting substance","Neurodegenerative Disorders","2"
"Congo Red","Neurotoxicity Syndromes","2"
"Oligonucleotides","Neurotoxicity Syndromes","2"
"NADPH Dehydrogenase","Sweet Syndrome","2"
"preproenkephalin","Spinal Cord Diseases","2"
"angiogenin","Disorder nervous system","2"
"Receptors, Pattern Recognition","Virus Diseases","2"
"Wheat Germ Agglutinins","Alzheimer's Disease","2"
"HCRT Gene","Liver diseases","2"
"Neurotrophic Factor","Milroy Disease","2"
"Glucose","Hypertensive disease","2"
"Granulocyte-Macrophage Colony-Stimulating Factor","Hypertensive disease","2"
"DNA Damage-Inducible Transcript 4 Protein","Huntington Disease","2"
"Immune Sera","Sweet Syndrome","2"
"Microtubule-Associated Proteins 1A/1B Light Chain 3","Machado-Joseph Disease","2"
"Green Fluorescent Proteins","Neurodegenerative Disorders","2"
"Ursodiol","Parkinson Disease","2"
"Prolactin","Syndrome","2"
"Galactose Binding Lectin","Neurodegenerative Disorders","2"
"Cytochrome P-450 CYP2E1","cortex bone disorders","2"
"Ephrin-B2","Spinal Cord Diseases","2"
"Undecaprenyl-phosphate galactose-phosphotransferase","Machado-Joseph Disease","2"
"Tumor Necrosis Factor-alpha","Gerstmann-Straussler-Scheinker Disease","2"
"synthetic peptide","cortex bone disorders","2"
"Retinoic Acid Receptor","Thyroid Diseases","2"
"Heparin","Alzheimer's Disease","2"
"CXC Chemokines","Autistic Disorder","2"
"Cloning Vectors","Norrie disease","2"
"sorafenib","Alzheimer's Disease","2"
"Interleukin-33","Peripheral Arterial Diseases","2"
"Proto Oncogene Proteins c met","Autistic Disorder","2"
"Recombinant DNA","Alzheimer's Disease","2"
"CBFA2T1 protein, human","Bloom Syndrome","2"
"mSin3","Autism Spectrum Disorders","2"
"Connexins","Disease Progression","2"
"rho-Associated Kinases","Alzheimer's Disease","2"
"NEUROG1 protein, human","Diseases of inner ear","2"
"Sodium Glutamate","Thyroid Diseases","2"
"Interleukin-2","Stereotypic Movement Disorder","2"
"CD68 antigen, human","Down Syndrome","2"
"Granulocyte Colony-Stimulating Factor","Alzheimer's Disease","2"
"HCRT Gene","Mood Disorders","2"
"UVRAG protein, human","Niemann-Pick Disease, Type C","2"
"Homocysteine","Disorder nervous system","2"
"Mannose-Binding Protein C","DISORDERS OF THE OPTIC NERVE","2"
"Receptors, Toll Like","Functional disorder","2"
"Renin","Testicular Diseases","2"
"Delta-Like Protein 1, human","Parkinson Disease","2"
"Insulin-like growth factor binding proteins","Retinal Diseases","2"
"TACR3 protein, human","Parkinson Disease","2"
"Peroxidase","Lung diseases","2"
"BAX Protein","Pyruvate Dehydrogenase Complex Deficiency Disease","2"
"Amyloid beta-Protein Precursor","Disorder nervous system","2"
"orexins","Metabolic Syndrome X","2"
"PARK2 protein, human","Van der Woude syndrome","2"
"Oxidoreductase","Spinal Cord Diseases","2"
"Caveolin-1","Alzheimer's Disease","2"
"NADPH Dehydrogenase","Esophageal Diseases","2"
"Endogenous Opiates","Pituitary Diseases","2"
"Mitogen Activated Protein Kinase p38","Fetal Alcohol Syndrome","2"
"Calmodulin","Depressive disorder","2"
"Calcium-Activated Potassium Channel Subunit Alpha-1","Functional disorder","2"
"Genes","Premature aging syndrome","2"
"Peroxisome Proliferator-Activated Receptors","Depressive disorder","2"
"Scrapie Agent","neuropathology disease","2"
"Ankyrin-1","cortex bone disorders","2"
"Proline","cortex bone disorders","2"
"NBS1 protein, human","Bloom Syndrome","2"
"Tubulin","Norrie disease","2"
"NF-kappa B","Neurotoxicity Syndromes","2"
"Epoetin Alfa","Autistic Disorder","2"
"RELN protein, human","Corneal Diseases","2"
"Ribonucleoproteins","cortex bone disorders","2"
"Complement 3","Functional disorder","2"
"CYP2B6 protein, human","Toxic liver disease","2"
"BTB/POZ Domain-Containing Adapter For CUL3-Mediated RhoA Degradation Protein 2","cortex bone disorders","2"
"UBE3A protein, human","Prader-Willi Syndrome","2"
"Arginine","Gardner Syndrome","2"
"Endorphins","Dysequilibrium syndrome","2"
"Neuropeptides","Autistic Disorder","2"
"Immunoglobulins","Depressive disorder","2"
"Transcription Repressor/Corepressor","Idiopathic Hypereosinophilic Syndrome","2"
"Collagen","Prune Belly Syndrome","2"
"ATP-Binding Cassette Sub-Family A Member 5","Alzheimer's Disease","2"
"coenzyme Q10","Parkinson Disease","2"
"Tubulin","Syndrome, Bloch-Sulzberger","2"
"Internexin","cortex bone disorders","2"
"Tyrosine","Neu-Laxova syndrome","2"
"Proliferating Cell Nuclear Antigen","Disease Progression","2"
"Tissue Inhibitor of Metalloproteinases","Alzheimer's Disease","2"
"Insulin-Like Growth Factor I","Neurodevelopmental disorder","2"
"Protein Subunits","Olmsted syndrome","2"
"Neural Cell Adhesion Molecules","Diseases of inner ear","2"
"Interleukin-18","Pervasive Development Disorder","2"
"Hepcidin","Cognition Disorders","2"
"Autoantibodies","Liver diseases","2"
"Myosin Light Chain Kinase","cortex bone disorders","2"
"Fluorescent Dyes","Neurotoxicity Syndromes","2"
"Epoxide hydrolase","Parkinson Disease","2"
"Cytochromes c","Alzheimer's Disease","2"
"Platelet Activating Factor","Disease Progression","2"
"LCN2 protein, human","Depressive disorder","2"
"Calcium Channel","Spinal Cord Diseases","2"
"Cerebroside-Sulfatase","Lysosomal Storage Diseases","2"
"Carboxy-Lyases","Spinal Cord Diseases","2"
"Somatostatin","Rectal Diseases","2"
"DENR protein, human","Spinal Cord Diseases","2"
"Vasopressin (USP)","Dysequilibrium syndrome","2"
"HSP90 Heat-Shock Proteins","Huntington Disease","2"
"Fragile X Mental Retardation Protein","Depressive disorder","2"
"Vitamin A","Alzheimer's Disease","2"
"Genes","Brown-Vialetto-Van Laere syndrome","2"
"Receptors, Histamine H1","Sensitization (disorder)","2"
"human histocompatibility complex derived antigens-A+B+C","Parkinson Disease","2"
"RNA-Binding Proteins","Pervasive Development Disorder","2"
"Ubiquitin","Lafora Disease","2"
"Deoxyuridine","Renal glomerular disease","2"
"Binding Protein","Parkinson Disease","2"
"ranpirnase","Renal glomerular disease","2"
"Somatostatin Receptor","Functional disorder","2"
"Pituitary Hormones, Anterior","Prostatic Diseases","2"
"Microtubule-Associated Proteins","Gilles de la Tourette syndrome","2"
"Ribosomal Protein S6 Kinase Beta-1","Alzheimer's Disease","2"
"Receptor, Galanin","Alzheimer's Disease","2"
"Protein-Serine-Threonine Kinases","Disorders, Mental","2"
"Lipofuscin","Functional disorder","2"
"HCRT protein, human","Alzheimer's Disease","2"
"Microtubule-Associated Proteins","Asperger Syndrome","2"
"Protein-Serine-Threonine Kinases","Autism Spectrum Disorders","2"
"Binding Protein","Neurodegenerative Disorders","2"
"Proteolytic Enzyme","Disorder nervous system","2"
"Triose-Phosphate Isomerase","Alzheimer's Disease","2"
"Antibodies","Congenital chromosomal disease","2"
"Retinaldehyde","Nail-Patella Syndrome","2"
"Calcium","Van der Woude syndrome","2"
"Reduced Glutathione","Functional disorder","2"
"Calmodulin","Hypertensive disease","2"
"Bone Morphogenetic Protein 6","Neurotoxicity Syndromes","2"
"YWHAQ protein, human","Autistic Disorder","2"
"Cathepsin B","Down Syndrome","2"
"angiogenin","Pituitary Diseases","2"
"Lamina-Associated Polypeptide 2, Isoforms Beta/Gamma","Disease of thymus gland","2"
"Calmodulin Dependent Protein Kinase II","Parkinson Disease","2"
"Retinaldehyde","Pituitary Diseases","2"
"Cyclin-Dependent Kinase 5","Disorder nervous system","2"
"HOXA10 protein, human","Recurrent disease","2"
"EHMT1 protein, human","Parkinson Disease","2"
"Ephrins","Huntington Disease","2"
"Amyloid","Pick Disease of the Brain","2"
"HCRT protein, human","Skin endocrine disorder","2"
"RELN protein, human","Spinal Cord Diseases","2"
"p73 protein, human","Neurotoxicity Syndromes","2"
"Serotonin receptor","Hashimoto Disease","2"
"Amyloid Proteins","Degenerative disorder","2"
"CD45 Antigens","Hamartoma Syndrome, Multiple","2"
"CD11b Antigens","Alzheimer's Disease","2"
"Microtubule-Associated Proteins","Leigh Disease","2"
"Chloramphenicol O-Acetyltransferase","Cohen syndrome","2"
"Undecaprenyl-phosphate galactose-phosphotransferase","Brain Diseases","2"
"Calgranulin B","Alzheimer's Disease","2"
"Luteinizing Hormone","Metabolic Syndrome X","2"
"Chromatin","Hodgkin Disease","2"
"Enzymes","Mitochondrial Diseases","2"
"GPR39 protein, human","Depressive disorder","2"
"Dopamine and cAMP-Regulated Phosphoprotein 32","Spinal Cord Diseases","2"
"Dopamine D2 Receptor","Prader-Willi Syndrome","2"
"Gallocyanine stain","Alzheimer's Disease","2"
"Osteopontin","Parkinson Disease","2"
"Peptides","Tracheal Diseases","2"
"Cathepsin L","Alzheimer's Disease","2"
"Aromatic-L-Amino-Acid Decarboxylases","Hereditary Diseases","2"
"PurA protein","Syndrome","2"
"Cu-Zn Superoxide Dismutase","neuropathology disease","2"
"Presynaptic Density Protein 95","Alzheimer's Disease","2"
"Immune Sera","Pancreatic Diseases","2"
"Glutathione S-Transferase","Diseases of inner ear","2"
"Gamma-Enolase","Chronic Obstructive Airway Disease","2"
"Proteins","Spinal Diseases","2"
"Endothelin","Meningeal disorder","2"
"Myelin","Williams Syndrome","2"
"superoxide dismutase 2","cortex bone disorders","2"
"Cathepsins","Disorder nervous system","2"
"Cholinergic Receptors","Feline urological syndrome","2"
"Glycolysis","Alzheimer's Disease","2"
"Indomethacin","Spinal Cord Diseases","2"
"CD4 Antigens","Demyelinating Diseases","2"
"Actins","Brain Diseases","2"
"Arginine Vasopressin-Neurophysin II Preproprotein","Hypertensive disease","2"
"Gonadorelin","Chronic myeloproliferative disorder","2"
"Protein Kinases","Attention deficit hyperactivity disorder","2"
"PTEN protein, human","Parkinsonian Disorders","2"
"Mineralocorticoid Receptor","Disorders, Mental","2"
"Gonadotropins","Syndrome","2"
"Microtubule-Associated Proteins 1A/1B Light Chain 3","Disorder nervous system","2"
"Acid Sensing Ion Channels","Alzheimer's Disease","2"
"Proteoglycan","Renal glomerular disease","2"
"metabotropic glutamate receptor type 1","Syndrome","2"
"Dystrophin","Neurotoxicity Syndromes","2"
"Neural Cell Adhesion Molecule L1","Functional disorder","2"
"Recombinant Proteins","Acute infectious disease","2"
"Appetite-Regulating Hormone","Hamartoma Syndrome, Multiple","2"
"Chemokine Receptor","Syndrome","2"
"Protein Kinase C","Acute Chest Syndrome","2"
"Brain-Derived Neurotrophic Factor","Melkersson-Rosenthal Syndrome","2"
"Melanocortins","Thyroid Diseases","2"
"Muscarinic Acetylcholine Receptor","Neonatal maladjustment syndrome","2"
"Serine Proteases","Parkinson Disease","2"
"APP protein, human","Pick Disease of the Brain","2"
"Protein Subunits","Axenfeld-Rieger Syndrome, Type 1","2"
"Sirolimus","cortex bone disorders","2"
"Autoantibodies","Paraneoplastic Syndromes","2"
"Myelin","Prune Belly Syndrome","2"
"HOXA10 protein, human","Functional disorder","2"
"Vasoactive Intestinal Peptide","Pancreatic Diseases","2"
"Arginine Vasopressin-Neurophysin II Preproprotein","Hyposmolality syndrome","2"
"Lactate Dehydrogenase","Mohr-Tranebjaerg syndrome","2"
"Leptin","Lafora Disease","2"
"Peroxisome Proliferator-Activated Receptors","Degenerative disorder","2"
"Pituitary Hormones, Anterior","Syndrome, Bloch-Sulzberger","2"
"Genes","Chronic Fatigue Syndrome","2"
"Beta-Adrenergic Receptor Kinase 1","Sensitization (disorder)","2"
"Luteinizing Hormone","Klinefelter Syndrome","2"
"Creatine Kinase B-Type, human","Uterine Diseases","2"
"Membrane Transport Proteins","Myasthenic Syndromes, Congenital","2"
"YWHAQ protein, human","Parkinson Disease","2"
"DNA","Cockayne Syndrome","2"
"NG-Nitroarginine Methyl Ester","Vasodilation disorder","2"
"GTPase-Activating Proteins","Neurodegenerative Disorders","2"
"fodrin","cortex bone disorders","2"
"Neogenin Homolog 1","Retinal Diseases","2"
"Myelin basic protein","neuropathology disease","2"
"ribonucleotide reductase M2","Spinal Cord Diseases","2"
"HD protein, human","Shwachman syndrome","2"
"tropomyosin-related kinase-B, human","Disorders, Mental","2"
"Immune Sera","Herpes zoster disease","2"
"Genes","Cornelia De Lange Syndrome","2"
"Bilirubin","Diseases of inner ear","2"
"Aminoglycoside Antibiotic","Diseases of inner ear","2"
"Glial Fibrillary Acidic Protein","Bloom Syndrome","2"
"Genes","Camurati-Engelmann Syndrome","2"
"Programmed Cell Death Protein 4","Depressive disorder","2"
"Interleukin-2","Neurotoxicity Syndromes","2"
"Coenzyme I","Disease Progression","2"
"N-Methylaspartate","Acute ill-defined cerebrovascular disease","2"
"DNA Transposable Elements","Pervasive Development Disorder","2"
"Proteins","Zika virus disease (disorder)","2"
"Phospholipase A2, human","Neurotoxicity Syndromes","2"
"Protein phosphatase","Neurodegenerative Disorders","2"
"Caspase-3","Thyroid Diseases","2"
"Antibodies","Intervertebral disc disorder","2"
"Disaccharides","Hamartoma Syndrome, Multiple","2"
"Glial Cell Line-Derived Neurotrophic Factor","Autism Spectrum Disorders","2"
"prostaglandin E synthase","Ovarian Diseases","2"
"CD68 antigen, human","Pervasive Development Disorder","2"
"Cyclic AMP-Responsive DNA-Binding Protein","Fragile X Syndrome","2"
"Presynaptic Density Protein 95","Feline urological syndrome","2"
"Vasopressin (USP)","Cardiovascular Diseases","2"
"STAT3 Protein","Parkinson Disease","2"
"Tyrosine 3-Monooxygenase","Syndrome, Bloch-Sulzberger","2"
"Nitric Oxide Synthase Type II","Disease Progression","2"
"S100 calcium binding protein A10","Major Depressive Disorder","2"
"Proteolytic Enzyme","Gerstmann-Straussler-Scheinker Disease","2"
"NOS2A protein, human","Mucocutaneous Lymph Node Syndrome","2"
"Argipressin","Bipolar Disorder","2"
"Alkaline Phosphatase","Pyruvate Dehydrogenase Complex Deficiency Disease","2"
"INSR protein, human","Binge eating disorder","2"
"Genes","Oculorespiratory syndrome","2"
"NT-3 Growth Factor Receptor, Human","Dyskinetic syndrome","2"
"Autoantibodies","Depressive disorder","2"
"myelination","Van der Woude syndrome","2"
"RNA Recognition Motif","Parkinson Disease","2"
"JNK Mitogen-Activated Protein Kinases","Parkinson Disease","2"
"Human Placental Lactogen","Retinal Diseases","2"
"Antibodies","Sequela of disorder","2"
"DNA, Mitochondrial","DISORDERS OF THE OPTIC NERVE","2"
"Peptidyl-Dipeptidase A","Alzheimer's Disease","2"
"Neurofilament Proteins","Disease Progression","2"
"Dipeptidyl-Peptidase IV","Functional disorder","2"
"Citric Acid Cycle","Spinal Cord Diseases","2"
"Glutamine","Functional disorder","2"
"Extracellular Signal Regulated Kinases","Autistic Disorder","2"
"Collagenase","Hamartoma Syndrome, Multiple","2"
"Luciferases","Syndrome, Bloch-Sulzberger","2"
"Minocycline","Sequela of disorder","2"
"Eosine Yellowish","Lung diseases","2"
"DNA, Mitochondrial","Huntington Disease","2"
"Calcitonin Gene-Related Peptide","Renal glomerular disease","2"
"NF-kappa B","Spinal Cord Diseases","2"
"Immunoglobulins","Antiphospholipid Syndrome","2"
"Nerve Growth Factor Receptor Associated Protein 1","Syndrome","2"
"Protein AF1q","cortex bone disorders","2"
"Somatostatin","Virus Diseases","2"
"Prolow-Density Lipoprotein Receptor-Related Protein 1","Neurotoxicity Syndromes","2"
"ebselen","Alzheimer's Disease","2"
"Bromodeoxyuridine","Mucocutaneous Lymph Node Syndrome","2"
"Cloning Vectors","Sandhoff Disease","2"
"neuromelanin","Lewy Body Disease","2"
"GABA Receptor","Substance Withdrawal Syndrome","2"
"Growth Factor","Parkinsonian Disorders","2"
"Dopamine Receptor","Impulse Control Disorders","2"
"Pituitary Hormones, Anterior","Skin endocrine disorder","2"
"Arachidonate 15-Lipoxygenase","Alzheimer's Disease","2"
"Microtubule-Associated Proteins 1A/1B Light Chain 3","Huntington Disease","2"
"Factor, Transcription","Restless Legs Syndrome","2"
"Fibroblast Growth Factor","Disorder of pineal gland","2"
"Fusion protein","Alzheimer's Disease","2"
"MT3 protein, human","Spinal Cord Diseases","2"
"UBC protein, human","cortex bone disorders","2"
"Arginine","Hamartoma Syndrome, Multiple","2"
"TFEB protein, human","Neurodegenerative Disorders","2"
"SH2D3C Gene","Syndrome","2"
"Integral Membrane Proteins","cortex bone disorders","2"
"Transcription Repressor/Corepressor","Autistic Disorder","2"
"Amyloid Proteins","DISORDERS OF THE OPTIC NERVE","2"
"Transporter, Dopamine","Hamartoma Syndrome, Multiple","2"
"Diazepam Binding Inhibitor","Retinal Diseases","2"
"Ryanodine Receptor Calcium Release Channel","Neurotoxicity Syndromes","2"
"SLC2A1 protein, human","Retinal Diseases","2"
"Interleukin-18","Parkinson Disease","2"
"Galactose","DISORDERS OF THE OPTIC NERVE","2"
"NADPH Oxidase","Van der Woude syndrome","2"
"Glutathione","Depressive disorder","2"
"Metastin","Uterine Diseases","2"
"Receptors, Nerve Growth Factor","Neurotoxicity Syndromes","2"
"Monooxygenase, Monophenol","Alzheimer's Disease","2"
"Tubulin","Huntington Disease","2"
"RNA Cap-Binding Proteins","Sensitization (disorder)","2"
"Peroxidase, Glutathione","Syndrome","2"
"rivastigmine","Mild cognitive disorder","2"
"Receptor, Melanocortin","Hypertensive disease","2"
"Tubulin Beta-3 Chain","Kallmann Syndrome","2"
"Opioid Receptor","Retinal Diseases","2"
"Tumor Necrosis Factors","Retinal Diseases","2"
"Glycosylation End Products, Advanced","Autism Spectrum Disorders","2"
"Nerve Growth Factors","Niemann-Pick Disease, Type C","2"
