"brainregion","disease","protein","count"
"Red nucleus structure","Spinal Cord Diseases","Immunoglobulin G","1"
"Cerebral cortex","Spinal Cord Diseases","SGOT - Glutamate oxaloacetate transaminase","1"
"Cerebellum","Retinal Diseases","Antibodies","1"
"Structure of thalamic reticular nucleus","Prune Belly Syndrome","Acid Sensing Ion Channels","1"
"Nucleus Accumbens","Depressive disorder","GABA-B Receptor","1"
"CA1 field","Disorder nervous system","voltage gated channel","1"
"Ventral Tegmental Area","Herpes zoster disease","CD44 Antigens","1"
"Posterior periventricular nucleus of hypothalamus","Papillon-Lefevre Disease","GTPase-Activating Proteins","1"
"Basal Forebrain","cortex bone disorders","Enzymes","1"
"CA1 field","Functional disorder","1-Phosphatidylinositol 3-Kinase","1"
"Structure of thalamic reticular nucleus","cortex bone disorders","Complement C1q","1"
"Neostriatum","cortex bone disorders","EHMT1 protein, human","1"
"Bundle, Predorsal","Alzheimer's Disease","Genes","1"
"Cerebral cortex","Van der Woude syndrome","NAD(P)H dehydrogenase (quinone) 1, human","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Cytochromes c","1"
"Prefrontal Cortex","Pervasive Development Disorder","Transcription Factor CHOP","1"
"Cerebral cortex","Spinal Cord Diseases","Gastrins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Receptor, Cannabinoid","1"
"BRAIN, HIPPOCAMPUS","Marfan Syndrome","Glial Fibrillary Acidic Protein","1"
"Inferior Colliculus","Spinal Cord Diseases","Receptors, Opioid, delta","1"
"Paracentral sulcus","Impulse Control Disorders","Receptor","1"
"Genus Hippocampus","Disease Progression","Calcium-Binding Proteins","1"
"Rostrotemporal auditory area","Prune Belly Syndrome","Brain-Derived Neurotrophic Factor","1"
"Structure of habenulopeduncular tract","Autism Spectrum Disorders","Proteins","1"
"Anterodorsal nucleus of thalamus","Functional disorder","Integrins","1"
"Anterodorsal nucleus of thalamus","Functional disorder","Prions","1"
"Olfactory Nerve","Nail-Patella Syndrome","Translocase","1"
"Genus Hippocampus","Migraine Disorders","Receptors, Opioid, delta","1"
"Genus Hippocampus","Down Syndrome","Receptor 5, Metabotropic Glutamate","1"
"BRAIN, HIPPOCAMPUS","Gardner Syndrome","Reduced Glutathione","1"
"Lateral ventricle structure","Prune Belly Syndrome","Cytochromes c","1"
"Corpus striatum structure","Huntington Disease","Oligonucleotides","1"
"Rostrotemporal auditory area","Van der Woude syndrome","Interleukin-6","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SILV protein, human","1"
"Prefrontal Cortex","Hereditary Diseases","Green Fluorescent Proteins","1"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","VEGF protein, human","1"
"Subfascicular nucleus","Mobius Syndrome","Methylene blue","1"
"Lateral tuberal nuclei","Parkinson Disease","HCRT protein, human","1"
"Neocortex","cortex bone disorders","Calbindins","1"
"Hypothalamic structure","Drug effect disorder","Androgen Receptor","1"
"Periamygdaloid Area","cortex bone disorders","HDAC Inhibitor SHP-141","1"
"Neostriatum","Alzheimer's Disease","potassium oxonate","1"
"Cerebral cortex","Communicable Diseases","TLR4 protein, human","1"
"Auditory Hair Cell","Diseases of inner ear","Carnosine","1"
"Pituitary Gland","Thyroid Diseases","G-Protein-Coupled Receptors","1"
"sensory cortex","cortex bone disorders","Chloramphenicol O-Acetyltransferase","1"
"Pars Compacta","Shy-Drager Syndrome","Synucleins","1"
"Entire Brodmann area 9, granular frontal","Major Depressive Disorder","Glutamate Decarboxylase","1"
"Structure of thalamic reticular nucleus","Huntington Disease","SQSTM1 protein, human","1"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Aromatase","1"
"Structure of pars magnocellularis of dorsomedial nucleus of thalamus","Meleda Disease","N-Methylaspartate","1"
"Corpus striatum structure","Liver diseases","Green Fluorescent Proteins","1"
"Neostriatum","Disorder nervous system","Somatostatin","1"
"Brodmann area 12","Movement Disorders","neuromelanin","1"
"Cerebral cortex","Neurotoxicity Syndromes","Haem oxygenase (decyclising)","1"
"Cerebral cortex","Fragile X Tremor Ataxia Syndrome","APP protein, human","1"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Cytochromes c","1"
"Parietal Lobe","Alzheimer's Disease","Enolase","1"
"Cerebral cortex","Autistic Disorder","Enzymes","1"
"Cerebral cortex","Alzheimer's Disease","HD protein, human","1"
"Brain Stem","Spinal Cord Diseases","Prohormone Convertases","1"
"Central gray substance of midbrain","cortex bone disorders","Glutamate Decarboxylase","1"
"Brain Stem","Depressive disorder","Dehydratase, Carbonate","1"
"Somatosensory Cortex","Pervasive Development Disorder","Genes","1"
"Planum temporale (PT)","Neurotoxicity Syndromes","Mitogen Activated Protein Kinase p38","1"
"Genus Hippocampus","Fragile X Tremor Ataxia Syndrome","APP protein, human","1"
"Thalamic structure","cortex bone disorders","RELN protein, human","1"
"Genus Hippocampus","Depressive disorder","Gene Products, nef","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Adipokines","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Neuronal Migration Protein Doublecortin","1"
"Pituitary Gland","Feline urological syndrome","Proteins","1"
"Neostriatum","Hypertrophic disorder of skin, unspecified","Choline O-Acetyltransferase","1"
"Genus Hippocampus","cortex bone disorders","Glutathione S-Transferase","1"
"Lateral Dorsal Nucleus","Pituitary Diseases","Corticotropin-Releasing Hormone","1"
"Paracentral Thalamic Nucleus","Alzheimer's Disease","RNA-Binding Proteins","1"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Spectrin","1"
"Pituitary Gland","Lung diseases","Fibroblast Growth Factor 2","1"
"BRAIN, HIPPOCAMPUS","Bloom Syndrome","HP protein, human","1"
"Interpeduncular nucleus","Alzheimer's Disease","Macrophage Inflammatory Proteins","1"
"BRAIN, HIPPOCAMPUS","Virus Diseases","myelination","1"
"Genus Hippocampus","cortex bone disorders","Tight Junction Proteins","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CD11b Antigens","1"
"Striatum of left cerebral hemisphere","Niemann-Pick Disease, Type C","Green Fluorescent Proteins","1"
"Nucleus Raphe Magnus","Spinal Cord Diseases","Poly ADP Ribose Polymerase","1"
"Cerebral hemisphere structure (body structure)","Depressive disorder","fostriecin","1"
"Pars Compacta","Retinal Diseases","Saffron stain","1"
"CA3 field","Depressive disorder","Tumor Necrosis Factors","1"
"Neocortex","Functional disorder","Glucose","1"
"Brain Stem","cortex bone disorders","Hypoxia Inducible Factor Family","1"
"Genus Hippocampus","Depressive disorder","Tumor Necrosis Factor-alpha","1"
"Posterior cerebral commissure","Tic disorder","PODXL protein, human","1"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","NADP","1"
"Corpus striatum structure","Parkinsonian Disorders","Protein phosphatase","1"
"Structure of thalamic fasciculus","Spinal Cord Diseases","Amine Oxidase, Copper Containing","1"
"Genus Hippocampus","Spinal Cord Diseases","Myelin","1"
"BRAIN, HIPPOCAMPUS","Hereditary Diseases","Green Fluorescent Proteins","1"
"Parietal Lobe","Sensitization (disorder)","AMPH protein, human","1"
"Structure of locus ceruleus","Axenfeld-Rieger Syndrome, Type 1","Proteins","1"
"Lamina Terminalis","Bipolar Disorder","Epidermal Growth Factor","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Membrane Proteins","1"
"Corpus striatum structure","Disease Progression","Matrix Metalloproteinase 9","1"
"Lobe, Frontal","Williams Syndrome","myelination","1"
"Neocortex","Rasmussen Syndrome","Fibroblast Growth Factor 2","1"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","Chloramphenicol O-Acetyltransferase","1"
"Entire internal capsule of brain","cortex bone disorders","Fibroblast Growth Factor Receptors","1"
"Structure of dentate gyrus","cortex bone disorders","Curcumin","1"
"Thalamic structure","cortex bone disorders","Immunoglobulins","1"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Transforming Growth Factors","1"
"Lobe, Frontal","Neurotoxicity Syndromes","Peptides","1"
"Cerebral cortex","Retinal Diseases","Macular Pigment","1"
"Anterodorsal nucleus of thalamus","Cerebrovascular Disorders","Membrane Transport Proteins","1"
"Basal Ganglia","cortex bone disorders","HD protein, human","1"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Artemin, human","1"
"Structure of dentate gyrus","Neurotoxicity Syndromes","Adenosine Triphosphatases","1"
"Brain Stem","Niemann-Pick Disease, Type C","Nerve Growth Factor","1"
"Nucleus fastigii","Uterine Diseases","Genes","1"
"Somatotrophs","Pituitary Diseases","Prolactin","1"
"Genus Hippocampus","Huntington Disease","Calbindins","1"
"Bundle, Predorsal","Huntington Disease","Mutant Proteins","1"
"Genus Hippocampus","Psychotic Disorders","CCND2 protein, human","1"
"Corpus striatum structure","Disease Progression","Nitric Oxide Synthase","1"
"Callosal sulcus","Fetal Alcohol Syndrome","Proteins","1"
"Structure of hippocampal fissure","CNS disorder","Thyrotropin-Releasing Hormone","1"
"Area, Septal","Skin endocrine disorder","INSR protein, human","1"
"Gigantocellular nucleus","cortex bone disorders","HOXA10 protein, human","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","S-Adenosylmethionine","1"
"Orbitofrontal cortex","Alcohol use disorder","Proteins","1"
"Cerebral cortex","Alzheimer's Disease","Vascular Endothelial Growth Factor A","1"
"Lateral Septal Nucleus","Leigh Disease","Nerve Growth Factor","1"
"BRAIN, HIPPOCAMPUS","neuropathology disease","protein TDP-43","1"
"Structure of supracallosal gyrus","Spinal Cord Diseases","Enzymes","1"
"Genus Hippocampus","Alzheimer's Disease","Serum amyloid P","1"
"Genus Hippocampus","Pituitary Diseases","Deoxyuridine","1"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Immunoglobulins","1"
"Inferior Colliculus","Pancreatic Diseases","Oxytocin","1"
"Corpus striatum structure","Renal glomerular disease","Proteins","1"
"Neostriatum","Movement Disorders","RGS Proteins","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Glycogen Synthase Kinase 3","1"
"Medial Septal Nucleus","Papillon-Lefevre Disease","Ras GTPase-Activating Protein 1","1"
"Prefrontal Cortex","Pervasive Development Disorder","Green Fluorescent Proteins","1"
"Structure of rubrospinal tract","Spinal Cord Diseases","Heparin, Low-Molecular-Weight","1"
"Genus Hippocampus","Macrophage Activation Syndrome","Endoribonucleases","1"
"Preoptic Areas","Dysequilibrium syndrome","Gonadorelin","1"
"Structure of thalamic reticular nucleus","Stress Disorders, Traumatic","Serum Albumin, Bovine","1"
"Substantia nigra structure","Parkinson Disease","Osteopontin","1"
"Cerebral cortex","Disease Progression","DICER1 protein, human","1"
"Hypothalamic structure","Mucocutaneous Lymph Node Syndrome","Tranylcypromine","1"
"BRAIN, HIPPOCAMPUS","Christ-Siemens-Touraine syndrome","Synaptophysin","1"
"Cerebellum","Spinal Cord Diseases","Lysine","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Autoreceptors","1"
"Paracentral Thalamic Nucleus","Papillon-Lefevre Disease","Nerve Growth Factor","1"
"CA1 field","Syndrome, Bloch-Sulzberger","Calmodulin Dependent Protein Kinase II","1"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Histones","1"
"Brain Stem","cortex bone disorders","Aspartic Acid","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Voltage-Dependent Anion Channels","1"
"Medial Septal Nucleus","Tic disorder","Nerve Growth Factor","1"
"Pars Compacta","Neurodegenerative Disorders","Genes","1"
"Brain Stem","Liver diseases","Neurotrophic Factor","1"
"Area 32 of Brodmann","cortex bone disorders","INSR protein, human","1"
"Basal Forebrain","Mild cognitive disorder","Nerve Growth Factor","1"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","Somatropin","1"
"Pineal gland","Disorder nervous system","Bromodeoxyuridine","1"
"Substantia nigra structure","Spinal Cord Diseases","Nitric Oxide Synthase","1"
"Somatotrophs","Pituitary Diseases","Poly ADP Ribose Polymerase","1"
"BRAIN, HIPPOCAMPUS","Functional disorder","Vascular Endothelial Growth Factor A","1"
"Brain Stem","Depressive disorder","Chloramphenicol O-Acetyltransferase","1"
"CA2 field","Retinal Diseases","Retinoblastoma Protein","1"
"Pars Compacta","Dyskinetic syndrome","Dopa","1"
"Pyramidal Cells","Down Syndrome","Monoclonal Antibodies","1"
"Medulla Oblongata","Spinal Cord Diseases","Granulocyte-Macrophage Colony-Stimulating Factor","1"
"Neostriatum","Syndrome, Bloch-Sulzberger","Enkephalin, Methionine","1"
"Corpus striatum structure","Andersen Syndrome","Acetylcholinesterase","1"
"Nucleus solitarius","Sweet Syndrome","Immune Sera","1"
"Cerebellum","cortex bone disorders","Membrane Proteins","1"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Granulocyte-Macrophage Colony-Stimulating Factor","1"
"Optic tract structure","cortex bone disorders","carboxypeptidase M","1"
"Genus Hippocampus","Sweet Syndrome","Nerve Growth Factors","1"
"Hypothalamic structure","Spinal Cord Diseases","Protein Isoforms","1"
"Pyramidal Cells","cortex bone disorders","Methyl-CpG-Binding Protein 2","1"
"Hypothalamic structure","Hypertensive disease","Angiotensin-2","1"
"Genus Hippocampus","neuropathology disease","Ubiquitin","1"
"Entire periaqueductal gray matter","cortex bone disorders","Proto-Oncogene Proteins c-fos","1"
"Area striata structure","Neurotoxicity Syndromes","Proteins","1"
"Structure of putamen","Dystonia Disorders","GTP Cyclohydrolase","1"
"Pregeniculate nucleus","Virus Diseases","Green Fluorescent Proteins","1"
"lateral amygdalar nucleus","Lupus anticoagulant disorder","Lupus Coagulation Inhibitor","1"
"Pyramidal Cells","Lysosomal Storage Diseases","N-Sulfoglucosamine sulfohydrolase","1"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Sucrose","1"
"Entire medulla oblongata","Vasodilation disorder","Cholecystokinin","1"
"Cerebral cortex","Alzheimer's Disease","Peroxisome Proliferator-Activated Receptors","1"
"Red nucleus structure","Spinal Cord Diseases","ras Proto-Oncogene Protein p21","1"
"Structure of paraventricular nucleus of thalamus","Shprintzen syndrome","Parvalbumins","1"
"Lateral geniculate complex","cortex bone disorders","Parvalbumins","1"
"Structure of rubrospinal tract","Leigh Disease","Folic Acid","1"
"Cerebral cortex","Depressive disorder","G-Protein-Coupled Receptors","1"
"Substantia nigra structure","Parkinsonian Disorders","Granulocyte-Macrophage Colony-Stimulating Factor","1"
"Rostrotemporal auditory area","Parkinson Disease","Actin, Cytoplasmic 1","1"
"Pituitary Gland","Disease of thymus gland","Peroxidases","1"
"Cerebral cortex","Degenerative disorder","BAD Protein","1"
"intercalated amygdalar nuclei","Sensitization (disorder)","tropomyosin-related kinase-B, human","1"
"Triangular Septal Nucleus","Down Syndrome","Neurotrophic Factor","1"
"Cerebral hemisphere structure (body structure)","Gaucher Disease","Glucose","1"
"Superior temporal gyrus","cortex bone disorders","Horseradish Peroxidase","1"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","Membrane Transport Proteins","1"
"Left supramarginal gyrus","Pervasive Development Disorder","Argipressin","1"
"Central insular sulcus","Meckel syndrome type 1","alpha-Tubulin","1"
"Lateral ventricle structure","cortex bone disorders","Bromodeoxyuridine","1"
"Laterodorsal tegmental nucleus","Virus Diseases","NOS1 protein, human","1"
"Structure of locus ceruleus","Drug withdrawal syndrome","N-Methylaspartate","1"
"Substantia nigra structure","Parkinson Disease","orexins","1"
"BRAIN, HIPPOCAMPUS","Toxic liver disease","ran GTP-Binding Protein","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Sirtuins","1"
"Basal Forebrain","Alzheimer's Disease","Growth Factor","1"
"Corpus striatum structure","Parkinson Disease","Receptor, Cannabinoid, CB1","1"
"Temporal Lobe","Mild cognitive disorder","Acetylcholinesterase","1"
"Substantia nigra structure","Camurati-Engelmann Syndrome","Ubiquitin","1"
"Neostriatum","Parkinson Disease","Cloning Vectors","1"
"Structure of locus ceruleus","cortex bone disorders","Proto-Oncogene Proteins c-fos","1"
"Brodmann area 18","Lewy Body Disease","von Willebrand factor","1"
"Genus Hippocampus","cortex bone disorders","Stress-Activated Protein Kinase 1","1"
"Midbrain structure","cortex bone disorders","Flavoproteins","1"
"Cerebellar cortex structure","Cerebellar Diseases","UBC protein, human","1"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Albumins","1"
"Structure of supraoptic nucleus","cortex bone disorders","Peptide Initiation Factors","1"
"Structure of trigeminal nerve spinal tract nucleus","Sensitization (disorder)","Lutein","1"
"Rostrotemporal auditory area","Feline urological syndrome","UV Excision Repair Protein RAD23 Homolog B","1"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Serine","1"
"Cerebral cortex","Complex Regional Pain Syndromes","Microtubule-Associated Proteins","1"
"Nucleus fastigii","Fetal Alcohol Syndrome","Receptor","1"
"CA2 field","Depressive disorder","Staurosporine","1"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Glycine","1"
"Ventral Striatum","Chronic infectious disease","Glutamate Decarboxylase","1"
"Hypothalamic structure","Depressive disorder","High Density Lipoprotein Cholesterol","1"
"Amygdaloid structure","Williams Syndrome","Genes","1"
"Structure of locus ceruleus","Parkinson Disease","coenzyme Q10","1"
