"brainregion","gene","count"
"CA1 field","HGS wt Allele","5"
"CA1 field","F2 gene","5"
"Parahippocampal Gyrus","TPO Gene","5"
"Type 2 vestibular sensory cell","Wild Type","5"
"Thalamic structure","NOS2 wt Allele","5"
"central amygdalar nucleus","MAPK1 wt Allele","5"
"Hindbrain","ATOH1 Gene","5"
"Thalamic structure","ITGA2B wt Allele","5"
"Cerebellum","DLK1 wt Allele","5"
"Cerebrum","MAPT wt Allele","5"
"Structure of paraventricular nucleus","CRH wt Allele","5"
"Pallidus Nucleus, Raphe","TRH Gene","5"
"Tegmentum Mesencephali","CAT Gene","5"
"Cerebral cortex","ENO2 Gene","5"
"Structure of lateral vestibular nucleus","Chloramphenicol Acetyl Transferase Gene","5"
"Superior colliculus of corpora quadrigemina","NTRK1 Gene","5"
"Prosencephalon","DCX gene","5"
"BRAIN, HIPPOCAMPUS","RUNX1 Gene","5"
"Structure of optic radiation","QPCT wt Allele","5"
"CA2 field","MAPK1 wt Allele","5"
"Cerebral cortex","RALBP1 wt Allele","5"
"Structure of medial preoptic nucleus","POMC Gene","5"
"Midbrain structure","PAG1 wt Allele","5"
"Pedunculopontine Tegmental Nucleus","CAT Gene","5"
"Anterodorsal nucleus of thalamus","NLRP3 Gene","5"
"Anterodorsal nucleus of thalamus","GPHN Gene","5"
"CA1 field","FAS Gene","5"
"CA1 field","ITPR1 Gene","5"
"Hypothalamic structure","Introns","5"
"Structure of anterior hypothalamic nucleus","OXT Gene","5"
"Prosencephalon","MECP2 gene","5"
"Structure of nucleus infundibularis hypothalami","SSTR2 Gene","5"
"Corpus striatum structure","CD1A Gene","5"
"Cerebral cortex","AGT Gene","5"
"Lateral Parabrachial Nucleus","BRD4 wt Allele","5"
"Brain Stem","PRF1 wt Allele","5"
"Prosencephalon","KRIT1 wt Allele","5"
"Structure of nucleus prepositus","NGF Gene","5"
"Neostriatum","KRAS wt Allele","5"
"Ventral Tegmental Area","ELK3 wt Allele","5"
"Posterolateral auditory cortex","CNR1 gene","5"
"Nucleus Accumbens","PPARA Gene","5"
"Corpus striatum structure","NGFR Gene","5"
"Brodmann area 18","Chloramphenicol O-Acetyltransferase","5"
"Pineal gland","CD69 wt Allele","5"
"Ventral Tegmental Area","NPY Gene","5"
"Brain Stem","GDF15 Gene","5"
"Pontine structure","SEMA4D wt Allele","5"
"Inferior Colliculus","DCN Gene","5"
"Structure of area postrema","FGF19 Gene","5"
"CA1 field","MRC1 Gene","5"
"CA2 field","TNF Gene","5"
"Cerebellum","PARP1 wt Allele","5"
"Hypothalamic structure","ELANE wt Allele","5"
"Structure of paraventricular nucleus of thalamus","CACNA1A gene","5"
"Pituitary Gland","SLC4A1 wt Allele","5"
"Medulla Oblongata","RRAD Gene","5"
"BRAIN, HIPPOCAMPUS","GJB6 gene","5"
"Substantia nigra structure","Estrogen Receptors","5"
"BRAIN, HIPPOCAMPUS","HPX Gene","5"
"Genus Hippocampus","MSN Gene","5"
"Corpus Callosum","CALCA Gene","5"
"Cerebral cortex","ZEB2 wt Allele","5"
"Tegmentum Mesencephali","Chloramphenicol O-Acetyltransferase","5"
"Parietal Lobe","VIP wt Allele","5"
"Inferior Colliculus","CALCA Gene","5"
"Structure of locus ceruleus","HTATIP wt Allele","5"
"Lateral ventricle structure","ENG wt Allele","5"
"Medulla Oblongata","Retinoic Acid Response Element","5"
"Nucleus solitarius","FAT1 gene","5"
"Organum Vasculosum Laminae Terminalis","Tumor Necrosis Factor-alpha","5"
"Prefrontal Cortex","SYP Gene","5"
"Entire medulla oblongata","FOSB wt Allele","5"
"Nucleus solitarius","NDOR1 wt Allele","5"
"Parolfactory area structure (body structure)","PROC wt Allele","5"
"Cerebral Peduncle","FASTK Gene","5"
"Pituitary Gland","HPSE Gene","5"
"CA1 field","MAFK wt Allele","5"
"Genus Hippocampus","TFPI wt Allele","5"
"Amygdaloid structure","Exons","5"
"Facial Nucleus","Wild Type","5"
"Structure of locus ceruleus","MAX Gene","5"
"BRAIN, HIPPOCAMPUS","NQO1 Gene","5"
"Posterior cerebral commissure","SST Gene","5"
"Genus Hippocampus","SNCA gene","5"
"Pars Compacta","CARD8 Gene","5"
"Structure of ansa lenticularis","SLC4A1 wt Allele","5"
"Hypothalamic structure","PLVAP Gene","5"
"Parolfactory area structure (body structure)","Genes","5"
"Inferior parietal lobule","THPO Gene","5"
"Substantia Nigra Pars Reticulata","HTT gene","5"
"Structure of dentate gyrus","DMD gene","5"
"Amygdaloid structure","EPO Gene","5"
"Cerebral hemisphere structure (body structure)","estrogen receptor alpha, human","5"
"Anterodorsal nucleus of thalamus","PDZK1 wt Allele","5"
"Hypothalamic structure","REG3A Gene","5"
"Midbrain structure","TNC Gene","5"
"BRAIN, HIPPOCAMPUS","CTSG wt Allele","5"
"Structure of angular gyrus","ITK Gene","5"
"Structure of capsule of red nucleus","NEUROG1 Gene","5"
"Cerebral hemisphere structure (body structure)","CREB1 Gene","5"
"Amygdaloid structure","ACACA wt Allele","5"
"central amygdalar nucleus","EPHB2 Gene","5"
"Brodmann area 21","CTBP1 wt Allele","5"
"Structure of fissure of Sylvius","PITX2 wt Allele","5"
"Ventral Posterolateral Nucleus","TCEA1 wt Allele","5"
"Rostral interstitial nucleus of medial longitudinal fasciculus","NGF Gene","5"
"Gyrus Cinguli","Alleles","5"
"Cerebral cortex","TNFAIP1 Gene","5"
"CA2 field","SERPINA1 gene","5"
"Corpus striatum structure","PDZK1 wt Allele","5"
"BRAIN, HIPPOCAMPUS","SHC1 Gene","5"
"Corpus striatum structure","CLU Gene","5"
"Prosencephalon","PROC wt Allele","5"
"Medulla Oblongata","FOS wt Allele","5"
"Structure of entorhinal cortex","LITAF gene","5"
"Organ of Corti structure","Wild Type","5"
"Structure of parieto-occipital fissure","LMNB1 wt Allele","5"
"Dorsal Nucleus Raphe","GNAI1 wt Allele","5"
"Structure of inferior central nucleus of pons","BRD4 wt Allele","5"
"Genus Hippocampus","TYMS Gene","5"
"Purkinje Cells","BACE1 Gene","5"
"Nuclei, Raphe","CAT Gene","5"
"Cerebral cortex","LMNB1 Gene","5"
"Barrington's Nucleus","CRH wt Allele","5"
"Pyramidal Tracts","F2 wt Allele","5"
"Neocortex","estrogen receptor alpha, human","5"
"Hypothalamic structure","NR3C2 Gene","5"
"Hypothalamic Area, Lateral","CCR2 gene","5"
"Cerebellum","TRH Gene","5"
"Pyramidal Tracts","CALCA Gene","5"
"Thalamic structure","SH2D1A wt Allele","5"
"Cerebral cortex","CDKL5 gene","5"
"Dentate nucleus","MRC1 Gene","5"
"Internal capsule of brain","c-fos Genes","5"
"Structure of nucleus infundibularis hypothalami","PGR wt Allele","5"
"Short insular gyrus","PAPOLA Gene","5"
"Neostriatum","MTR Gene","5"
"Bundle, Predorsal","CARD8 wt Allele","5"
"Brain Stem","AICDA Gene","5"
"Nucleus solitarius","GNAI1 Gene","5"
"Type 2 vestibular sensory cell","BGLAP Gene","5"
"Cerebral hemisphere structure (body structure)","ESR1 Gene","5"
"Structure of rubrospinal tract","MSN Gene","5"
"Area striata structure","CARD8 wt Allele","5"
"Midbrain structure","FOXA1 Gene","5"
"Prosencephalon","FOS wt Allele","5"
"Hypothalamic structure","Replication Origin","5"
"Cerebral hemisphere structure (body structure)","SYP Gene","5"
"Corpus striatum structure","KNG1 Gene","5"
"Corpus striatum structure","NDOR1 wt Allele","5"
"Parietal Lobe","AKT1S1 wt Allele","5"
"Hypothalamic structure","TLR4 Gene","5"
"intercalated amygdalar nuclei","PADI4 Gene","5"
"BRAIN, HIPPOCAMPUS","DICER1 Gene","5"
"Pyramidal Cells","S100A10 Gene","5"
"Pituitary cell","GH1 Gene","5"
"Corpus striatum structure","CSPG4 Gene","5"
"Cerebral cortex","TIAM1 Gene","5"
"Structure of supraoptic nucleus","Wild Type","5"
"Neostriatum","SILV wt Allele","5"
"Prosencephalon","PAX6 gene","5"
"Substantia nigra structure","MDK wt Allele","5"
"Medial geniculate body","FMOD wt Allele","5"
"Dorsal Motor Nucleus","CRH Gene","5"
"Inner Auditory Hair Cells","RASA1 Gene","5"
"Parolfactory area structure (body structure)","PODXL wt Allele","5"
"BRAIN, HIPPOCAMPUS","CXCL1 Gene","5"
"Inferior Colliculus","TNFRSF11A Gene","5"
"CA3 field","CPE Gene","5"
"Entire medulla oblongata","SLC6A4 wt Allele","5"
"Nucleus, Principal Pretectal","MAPK3 wt Allele","5"
"Brain Stem","AICDA wt Allele","5"
"Structure of ventral posteromedial nucleus of thalamus","GRN Gene","5"
"BRAIN, HIPPOCAMPUS","LDLR wt Allele","5"
"Parietal operculum cortex (PO)","SILV wt Allele","5"
"Structure of angular gyrus","SRC wt Allele","5"
"Parabrachial Nucleus","S100A12 wt Allele","5"
"Basal Forebrain","SH2D1A gene","5"
"Substantia nigra structure","FGFR1 wt Allele","5"
"Structure of dentate gyrus","PROC Gene","5"
"Anterodorsal nucleus of thalamus","TARDBP wt Allele","5"
"Genus Hippocampus","RNH1 Gene","5"
"Structure of locus ceruleus","SLC1A2 wt Allele","5"
"Prefrontal Cortex","MAPK3 wt Allele","5"
"Telencephalon","NES Gene","5"
"CA2 field","MECP2 wt Allele","5"
"Structure of lateral mammillary nucleus","KNG1 Gene","5"
"Pituitary Gland","WISP3 wt Allele","5"
"Cerebellum","SH2D3C Gene","5"
"Structure of reticular formation of midbrain","Chloramphenicol Acetyl Transferase Gene","5"
"Telencephalon","CYP19A1 Gene","5"
"Purkinje Cells","RASA1 Gene","5"
"Hypothalamic Area, Lateral","POMT1 gene","5"
"Genus Hippocampus","PMAIP1 Gene","5"
"Cerebral cortex","NEFL wt Allele","5"
"Genus Hippocampus","AMH wt Allele","5"
"CA2 field","APRT wt Allele","5"
"Structure of thalamic reticular nucleus","NGFR Gene","5"
"Neostriatum","SQSTM1 Gene","5"
"Structure of nucleus infundibularis hypothalami","AR gene","5"
"Hypothalamic structure","SLC2A4 wt Allele","5"
"Caudate nucleus structure","SLC6A3 Gene","5"
"Structure of locus ceruleus","MECP2 gene","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Exons","5"
"Structure of locus ceruleus","GDNF Gene","5"
"Pars Compacta","EEF1A2 wt Allele","5"
"Amygdaloid structure","NR3C2 Gene","5"
"Structure of terminal stria nuclei of preoptic region","AREG wt Allele","5"
"Cerebral cortex","TAP2 wt Allele","5"
"Basal Forebrain","Wild Type","5"
"Spinothalamic tract of medulla","Chloramphenicol Acetyl Transferase Gene","5"
"BRAIN, HIPPOCAMPUS","FASLG Gene","5"
"Structure of nucleus prepositus","SYP Gene","5"
"Superior colliculus of corpora quadrigemina","OXT Gene","5"
"Structure of dentate gyrus","CNR1 gene","5"
"Midbrain structure","MLLT4 wt Allele","5"
"Pyramidal Cells","FBN1 wt Allele","5"
"Prosencephalon","PAG1 Gene","5"
"Neostriatum","LIPG wt Allele","5"
"central amygdalar nucleus","PITX2 wt Allele","5"
"CA1 field","ID1 Gene","5"
"Neostriatum","RET gene","5"
"Nucleus, Principal Pretectal","estrogen receptor alpha, human","5"
"Lobe, Frontal","Alleles","5"
"BRAIN, HIPPOCAMPUS","PHB Gene","5"
"Prefrontal Cortex","LEP Gene","5"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","EPHB1 Gene","5"
"BRAIN, HIPPOCAMPUS","TFAP2A wt Allele","5"
"Hypothalamic Area, Lateral","SST Gene","5"
"Cerebellum","EGR1 wt Allele","5"
"Paracentral Thalamic Nucleus","FST wt Allele","5"
"Preoptic Areas","CALCA Gene","5"
"Structure of nucleus infundibularis hypothalami","GCK gene","5"
"Structure of angular gyrus","Short Tandem Repeat","5"
"CA3 field","ACVRL1 gene","5"
"Thalamic structure","EPHB2 Gene","5"
"Structure of medial preoptic nucleus","NPY Gene","5"
"Structure of thalamic reticular nucleus","Chloramphenicol O-Acetyltransferase","5"
"Neostriatum","RELN Gene","5"
"Cerebellum","GYPA wt Allele","5"
"Cerebral hemisphere structure (body structure)","ITGAM wt Allele","5"
"BRAIN, HIPPOCAMPUS","NR0B1 wt Allele","5"
"Structure of paraventricular nucleus of thalamus","POSTN wt Allele","5"
"Pituitary cell","GGH wt Allele","5"
"CA1 field","VEGFA wt Allele","5"
"Structure of capsule of red nucleus","PGR Gene","5"
"Purkinje Cells","RASA1 wt Allele","5"
"Hypothalamic structure","MAP Kinase Gene","5"
"Hypothalamic structure","PAPOLA wt Allele","5"
"Structure of locus ceruleus","APP wt Allele","5"
"Corpus striatum structure","MTR Gene","5"
"Cerebral cortex","GLS2 Gene","5"
"Bundle, Predorsal","Long Interspersed Element","5"
"Dorsal Motor Nucleus","CHAT Gene","5"
"Pituitary Gland","MRC1 Gene","5"
"Cerebral cortex","CPE Gene","5"
"Pyramidal Cells","MYCBP2 wt Allele","5"
"Median eminence of hypothalamus","ADA Gene","5"
"Corpus striatum structure","SUB1 Gene","5"
"Insula of Reil","SLC4A1 wt Allele","5"
"Purkinje Cells","NR4A3 Gene","5"
"Cerebral cortex","NFIC Gene","5"
"Dorsal tegmental nucleus","PSEN1 gene","5"
"Auditory area","LMNA wt Allele","5"
"Neostriatum","BECN1 Gene","5"
"Midbrain structure","MTR Gene","5"
"Hypothalamus, Anterior","c-fos Genes","5"
"Visual Cortex","YY1 wt Allele","5"
"CA3 field","NOS2 wt Allele","5"
"CA1 field","CDK5 Gene","5"
"Type 1 vestibular sensory cell","OTOF gene","5"
"Genus Hippocampus","STAT1 Gene","5"
"Cerebral cortex","ESR2 Gene","5"
"Genus Hippocampus","NEO1 Gene","5"
"CA1 field","FOXD3 wt Allele","5"
"Neostriatum","TBCEL wt Allele","5"
"Central insular sulcus","MTR Gene","5"
"Dorsal Nucleus Raphe","Chloramphenicol Acetyl Transferase Gene","5"
"Brodmann area 18","CAT Gene","5"
"Preoptic Areas","MPZ gene","5"
"Cerebellar Nuclei","PDZK1 Gene","5"
"Central insular sulcus","CADM1 Gene","5"
"Nucleus solitarius","GNAI1 wt Allele","5"
"central amygdalar nucleus","MAP Kinase Gene","5"
"Structure of dorsal cochlear nucleus","c-fos Genes","5"
"Prefrontal Cortex","EPHB1 Gene","5"
"Bundle, Predorsal","CHGA Gene","5"
"Neocortex","TNFRSF1B wt Allele","5"
"Substantia nigra structure","Epidermal Growth Factor","5"
"Pyramidal Cells","ASAH1 Gene","5"
"Periamygdaloid Area","GLS2 Gene","5"
"Genus Hippocampus","S100B Gene","5"
"Prosencephalon","PAG1 wt Allele","5"
"Genus Hippocampus","Cyclic AMP Response Element","5"
"Ventral Tegmental Area","HOXD13 wt Allele","5"
"Nucleus solitarius","CD36 Gene","5"
"Hypothalamic Area, Lateral","Chloramphenicol O-Acetyltransferase","5"
"Structure of ventromedial hypothalamic nucleus","STAT3 Gene","5"
"Lobe, Frontal","EPHA7 Gene","5"
"Posterior cerebral commissure","Promoter","5"
"Prosencephalon","DNMT1 wt Allele","5"
"Preoptic Areas","EPO wt Allele","5"
"Inferior parietal lobule","TPO Gene","5"
"Cerebral cortex","CLU Gene","5"
"Neostriatum","CLU Gene","5"
"Facial Nucleus","CST3 Gene","5"
"Corpus striatum structure","MECP2 wt Allele","5"
"Somatosensory Cortex","ENG wt Allele","5"
"Structure of suprageniculate nucleus","TARDBP wt Allele","5"
"Callosal sulcus","MAPK3 wt Allele","5"
"Corpus striatum structure","RELN Gene","5"
"Cerebral cortex","PSEN2 Gene","5"
"Ventral Tegmental Area","SH2D3C wt Allele","5"
"Posterior cerebral commissure","SST wt Allele","5"
"Structure of supramammillary nucleus","GC wt Allele","5"
"Structure of paraventricular nucleus of thalamus","Retinoic Acid Response Element","5"
"Hypothalamic structure","Heterozygote","5"
"Neocortex","CALCA Gene","5"
"BRAIN, HIPPOCAMPUS","PI-3 kinase gene","5"
"Dorsal Nucleus Raphe","MAP Kinase Gene","5"
"Motor Cortex","MITF Gene","5"
"Median eminence of hypothalamus","IFNAR1 wt Allele","5"
"Hypothalamic structure","HDC Gene","5"
"BRAIN, HIPPOCAMPUS","BCL2A1 wt Allele","5"
"Corpus striatum structure","PDZK1 Gene","5"
"Corpus striatum structure","Enhancer of transcription","5"
"Pyramidal Cells","DDIT4 wt Allele","5"
"Area striata structure","CRH Gene","5"
"Acoustic nerve","CD69 wt Allele","5"
"Neostriatum","LIPG Gene","5"
"Structure of capsule of red nucleus","SET Gene","5"
"Structure of dentate gyrus","NR3C1 wt Allele","5"
"Cerebral hemisphere structure (body structure)","TRH Gene","5"
"Medulla Oblongata","Long Interspersed Element","5"
"Neostriatum","KNG1 Gene","5"
"Ventral Posterolateral Nucleus","CAT Gene","5"
"Cerebral cortex","MYCBP2 wt Allele","5"
"Cerebellum","CCND1 gene","5"
"CA1 field","VEGFA Gene","5"
"Interpeduncular nucleus","KISS1 Gene","5"
"Genus Hippocampus","ras Oncogene","5"
"Neocortex","Alleles","5"
"Structure of reticular formation of midbrain","CAT Gene","5"
"Brodmann area 18","Chloramphenicol Acetyl Transferase Gene","5"
"Central gray substance of midbrain","MAS1 wt Allele","5"
"Cerebral cortex","ARID1B Gene","5"
"Metencephalon","ABL2 Gene","5"
"Hypothalamic structure","KISS1 wt Allele","5"
"Structure of nucleus infundibularis hypothalami","CALCA wt Allele","5"
"Habenula","SH2D3C Gene","5"
"Neocortex","FST wt Allele","5"
"Hypothalamic structure","PAPOLA Gene","5"
"Preoptic Areas","UCP1 Gene","5"
"Medulla Oblongata","Tumor Necrosis Factor-alpha","5"
"CA1 field","PIP Gene","5"
"Ventral Tegmental Area","ELK3 Gene","5"
"BRAIN, HIPPOCAMPUS","MIR451 wt Allele","5"
"Structure of paraventricular nucleus of thalamus","FOSB Gene","5"
"Central insular sulcus","3' Untranslated Regions","5"
"Occipital lobe","YY1 wt Allele","5"
"Cerebellum","SH2D3C wt Allele","5"
"Pyramidal Cells","DLG4 Gene","5"
"Medulla Oblongata","INS gene","5"
"Prefrontal Cortex","IRF6 wt Allele","5"
"Occipital lobe","SLC16A1 Gene","5"
"Structure of trapezoid body","Chloramphenicol Acetyl Transferase Gene","5"
"Medial Dorsal Nucleus","Chloramphenicol Acetyl Transferase Gene","5"
"BRAIN, HIPPOCAMPUS","TGFBI wt Allele","5"
"Genus Hippocampus","IRS1 Gene","5"
"CA1 field","CX3CR1 Gene","5"
"Entire medulla oblongata","CRH Gene","5"
"Hypoglossal nerve nucleus","DRD2 Gene","5"
"Cerebellum","SLC2A1 Gene","5"
"Ventral Lateral Thalamic Nucleus","LITAF gene","5"
"Corpus striatum structure","EREG wt Allele","5"
"CA3 field","EPHB2 Gene","5"
"Nuclei, Raphe","MRC1 Gene","5"
"Cerebral hemisphere structure (body structure)","PHGDH wt Allele","5"
"BRAIN, HIPPOCAMPUS","RCAN1 Gene","5"
"Cerebral cortex","SRC wt Allele","5"
"Structure of dentate gyrus","ADIPOQ Gene","5"
"Cerebellum","SP1 Gene","5"
"Structure of terminal stria nuclei of preoptic region","AR wt Allele","5"
"Lateral habenular nucleus","TACR3 Gene","5"
"Neostriatum","ITGAM Gene","5"
"Dorsal tegmental nucleus","PSEN1 wt Allele","5"
"Prosencephalon","NTRK2 Gene","5"
"Prosencephalon","AGT Gene","5"
"Globus Pallidus","EEF1A2 wt Allele","5"
"BRAIN, HIPPOCAMPUS","PMAIP1 wt Allele","5"
"BRAIN, HIPPOCAMPUS","CD19 wt Allele","5"
"Brodmann area 22","Reading Frames","5"
"Cerebral cortex","MAFB Gene","5"
"Prefrontal Cortex","PSEN1 wt Allele","5"
"Bundle, Predorsal","CARD8 Gene","5"
"Structure of central sulcus","FLT4 wt Allele","5"
"Thalamic structure","MAPK1 wt Allele","5"
"mossy fiber","CADM1 Gene","5"
"Nuclei, Raphe","NR4A3 Gene","5"
"Thalamic Nuclei","AKT1S1 wt Allele","5"
"Cerebellum","ANG Gene","5"
"Ependyma","Genes","5"
"Structure of angular gyrus","AVP wt Allele","5"
"Medullary pyramid","CAT Gene","5"
"Structure of medial preoptic nucleus","FOS Gene","5"
"Amygdaloid structure","Retinoic Acid Response Element","5"
"CA3 field","EPHB1 Gene","5"
"CA1 field","GRM1 Gene","5"
"BRAIN, HIPPOCAMPUS","ATF3 Gene","5"
"Dorsal Nucleus Raphe","GNAI1 Gene","5"
"Prosencephalon","MEIS1 Gene","5"
"Midbrain Raphe Nuclei","FGFR1 gene","5"
"Basal Forebrain","NES Gene","5"
"Corpus striatum structure","SLC25A4 wt Allele","5"
"Neostriatum","SLC25A4 wt Allele","5"
"Brain Stem","FLNA wt Allele","5"
"Hypothalamic Area, Lateral","ADRB2 Gene","5"
"Pontine structure","SLC6A4 wt Allele","5"
"Visual Cortex","GRIN2A wt Allele","5"
"Callosal sulcus","Genome","5"
"Pyramidal Cells","SLC12A2 Gene","5"
"Neostriatum","NES Gene","5"
"Hindbrain","INS gene","5"
"Purkinje Cells","Genome","5"
"Ventral Striatum","Genes","5"
"Ventral Posterolateral Nucleus","GRN Gene","5"
"BRAIN, HIPPOCAMPUS","EZH2 Gene","5"
"Corpus striatum structure","PSEN1 gene","5"
"Inner Auditory Hair Cells","ATP8A2 wt Allele","5"
"Corpus striatum structure","TBCEL Gene","5"
"Nucleus solitarius","CRH wt Allele","5"
"BRAIN, HIPPOCAMPUS","PLG Gene","5"
"central amygdalar nucleus","ANG Gene","5"
"Nucleus of Ansa Lenticularis","SLC4A1 wt Allele","5"
"Lobe, Frontal","PSEN1 wt Allele","5"
"BRAIN, HIPPOCAMPUS","VDR Gene","5"
"Prosencephalon","SH3PXD2A wt Allele","5"
"Brodmann area 35","RPL5 wt Allele","5"
"Area striata structure","SLC4A1 wt Allele","5"
"Basal Nucleus of Meynert","MAPT gene","5"
"Area, Septal","c-fos Genes","5"
"Nucleus solitarius","SST wt Allele","5"
"Visual Cortex","EPHB1 Gene","5"
"Lobe, Frontal","Genotype","5"
"Pineal gland","Chloramphenicol Acetyl Transferase Gene","5"
"Neocortex","ESR1 Gene","5"
"Prefrontal Cortex","CD36 wt Allele","5"
"Cerebral cortex","NTNG1 Gene","4"
"Substantia nigra structure","PODXL Gene","4"
"Genus Hippocampus","CD40 wt Allele","4"
"Neostriatum","ACACA wt Allele","4"
"Hypothalamic structure","VIP wt Allele","4"
"Motor Cortex","CCL2 wt Allele","4"
"Tectospinal tract of medulla","KRAS wt Allele","4"
"BRAIN, HIPPOCAMPUS","HSPB8 Gene","4"
"Nucleus fastigii","TP53 gene","4"
"Pars Compacta","EPO Gene","4"
"Basal Ganglia","HOXA10 wt Allele","4"
"BRAIN, HIPPOCAMPUS","TFPI Gene","4"
"Cochlear nucleus structure","TFRC wt Allele","4"
"Structure of nucleus gracilis","CAT Gene","4"
"Tuberomammillary Nucleus","PODXL Gene","4"
