"mental","disease","count"
"Exercise","Chronic Kidney Diseases","1"
"Pain","Eating Disorders","1"
"Behavior, Animal","Muckle-Wells Syndrome","1"
"Overlying behavior","Ectopic neuronal tissue (disorder)","1"
"Delay Discounting","Attention Deficit Disorder","1"
"Availability of","Renal tubular disorder","1"
"Drinking (function)","Immunoglobulin A deficiency (disorder)","1"
"Exercise","Melkersson-Rosenthal Syndrome","1"
"Drug Tolerance","Ataxia as late effect of cerebrovascular disease","1"
"Involvement with","Anterior Horn Cell Disease","1"
"Attribution","Sequela of disorder","1"
"Muscle Tonus","Disorder nervous system","1"
"taste perception","Capillary Leak Syndrome","1"
"Seizures","Cockayne Syndrome, Type I","1"
"Severe mental retardation (I.Q. 20-34)","Functional disorder","1"
"Akinesia","Shy-Drager Syndrome","1"
"Defense Mechanisms","Chronic Obstructive Airway Disease","1"
"Involvement with","Premenstrual syndrome","1"
"Coitus","Capillary Leak Syndrome","1"
"Behavioral tic","Movement Disorders","1"
"Sleep","neuropathology disease","1"
"Chronic pain","Failed Back Surgery Syndrome","1"
"Genetic Risk","Migraine Disorders","1"
"Sensory Process","Mixed anxiety and depressive disorder","1"
"Mental Processes","Post-Traumatic Stress Disorder","1"
"Automobile Driving","Spinal Cord Diseases","1"
"Avoidance","Liver diseases","1"
"Mental concentration","Klein's Syndrome","1"
"Judgment","Pervasive Development Disorder","1"
"Speech","Shprintzen syndrome","1"
"Stress, Psychological","Parkinsonian Disorders","1"
"Availability of","Kartagener Syndrome","1"
"Uncertainty","Mitochondrial Diseases","1"
"Uncertainty","Retinal Diseases","1"
"Gustatory Perception","Taste Disorders","1"
"Body Weight","Congenital secretory diarrhea, sodium type (disorder)","1"
"Like","Chorea Acanthocytosis Syndrome","1"
"Physical activity","Narcolepsy-Cataplexy Syndrome","1"
"Hope","Mild cognitive disorder","1"
"Play","Ocular Motility Disorders","1"
"Dyscalculia","Attention deficit hyperactivity disorder","1"
"Performance","Hodgkin Disease","1"
"Communication Response","Polycystic Kidney Diseases","1"
"Depression, Bipolar","Stress Disorders, Traumatic","1"
"Visual Fields","Degenerative disorder","1"
"Cognitive information processing","Disorder of pineal gland","1"
"Memory, Short-Term","Fetal Alcohol Spectrum Disorders","1"
"Hope","Pituitary Diseases","1"
"Like","Inclusion body myositis (disorder)","1"
"Reaching","Neurotoxicity Syndromes","1"
"Feedback - evaluative response process","Mohr-Tranebjaerg syndrome","1"
"Seasonal Affective Disorder","Pervasive Development Disorder","1"
"Mood","Inflammatory Bowel Diseases","1"
"Stereotypic Movement Disorder","Narcolepsy-Cataplexy Syndrome","1"
"Drug abuse","Anxiety Disorders","1"
"Mental Retardation","Metabolic Diseases","1"
"Behavior","Neurotic Disorders","1"
"Marital separation","Alzheimer's Disease","1"
"Confusion","Creutzfeldt-Jakob Disease, Sporadic","1"
"Tremor","Hamartoma Syndrome, Multiple","1"
"Impaired social interaction","Pituitary Diseases","1"
"Loneliness","Depressive disorder","1"
"Stress","Alcohol withdrawal syndrome","1"
"Behavior","Lipid Metabolism Disorders","1"
"smell perception","Demyelinating Diseases","1"
"Abnormal behavior","Williams Syndrome","1"
"Learning Disabilities","Sotos' syndrome","1"
"Social Role","Jacobsen Distal 11q Deletion Syndrome","1"
"Initiative","Neurotoxicity Syndromes","1"
"Tic disorder","Attention Deficit Disorder","1"
"Impaired cognition","Degenerative Diseases, Central Nervous System","1"
"Psychological inhibition","Glycogen Storage Disease","1"
"Euthanasia","Uterine Diseases","1"
"Object Recognition","Sweet Syndrome","1"
"Behavior, Animal","Autistic Disorder","1"
"Abnormal behavior","Nail-Patella Syndrome","1"
"DEPRESSION MENTAL","Sweet Syndrome","1"
"DEPRESSION MENTAL","Norrie disease","1"
"Increased stress","Depressive disorder","1"
"Hope","Down Syndrome","1"
"Communication Response","Neurodevelopmental disorder","1"
"Involvement with","Alagille Syndrome","1"
"Performance","Borderline Personality Disorder","1"
"Automobile Driving","Disorder of pineal gland","1"
"Behavioral Symptoms","Attention Deficit Disorder","1"
"Social Adjustment","Borderline Personality Disorder","1"
"Exercise","neuropathology disease","1"
"Sets (Psychology)","Dystonia Disorders","1"
"Pain","Anxiety Disorders","1"
"Cognition","Stress Disorders, Traumatic, Acute","1"
"Overactivity","Paramyotonia congenita (disorder)","1"
"Discrimination","Autistic Disorder","1"
"Insight","Panic Disorder","1"
"Transsexual (finding)","Hamartoma Syndrome, Multiple","1"
"Like","Lubs X-linked mental retardation syndrome","1"
"Learning","Tic disorder","1"
"Physical aggression","Disorders, Mental","1"
"Feelings","Acute Disease","1"
"smell perception","Shy-Drager Syndrome","1"
"Social Role","Nutrition Disorders","1"
"Attention","Obsessive-Compulsive Disorder","1"
"Retrieval of memory","Disorders, Mental","1"
"social stress","Sequela of disorder","1"
"Social Role","Speech and language disorder","1"
"Visit","Cerebrovascular Disorders","1"
"Psychological Transfer","Diseases of external ear","1"
"biological adaptation to stress","Fetal Alcohol Syndrome","1"
"Pain","McCune-Albright Syndrome","1"
"Abnormal behavior","Borna Disease","1"
"Discussion","Marfan Syndrome","1"
"DEPRESSION MENTAL","Vasodilation disorder","1"
"Physical Contact","Peripheral Arterial Diseases","1"
"Communication","Renal tubular disorder","1"
"Reluctance","Sweet Syndrome","1"
"Insight","Menkes Kinky Hair Syndrome","1"
"Memory","Anophthalmia Waardenburg syndrome","1"
"Recognition (Psychology)","Mobius Syndrome","1"
"Paralysed","Liver diseases","1"
"Motivation","Behavior Disorders","1"
"Attitude","Janiceps (disorder)","1"
"Attack behavior","Christ-Siemens-Touraine syndrome","1"
"Social isolation","Autistic Disorder","1"
"Binge Drinking","Hypertensive disease","1"
"Abnormal behavior","Delirium, Dementia, Amnestic, Cognitive Disorders","1"
"Vision","Vascular Diseases","1"
"biological adaptation to stress","CNS disorder","1"
"Psychological suppression","Nail-Patella Syndrome","1"
"Seizures","Syndrome, Bloch-Sulzberger","1"
"Drinking (function)","Fetal Alcohol Syndrome","1"
"Behavioral change","Bipolar Disorder","1"
"Aversion (finding)","Gastrointestinal Diseases","1"
"Cognitive Flexibility","Conjunctival Diseases","1"
"Interested","Prion Diseases","1"
"Stress","Mohr-Tranebjaerg syndrome","1"
"Psychological inhibition","Gaucher Disease","1"
"sharing","Mild cognitive disorder","1"
"Above average intellect","Spinal Cord Diseases","1"
"Physiological Stress","Vanishing white matter disease","1"
"sharing","Tic disorder","1"
"Space Perception","Lateral Medullary Syndrome","1"
"Performance","Uterine Diseases","1"
"Feelings","Spinal Cord Diseases","1"
"Fear","Rumination Disorders","1"
"Play","Gilles de la Tourette syndrome","1"
"Behavior","Oculorespiratory syndrome","1"
"Mental association","Saethre-Chotzen Syndrome","1"
"Tobacco smoking behavior","Alzheimer's Disease","1"
"Dysphoric mood","Miosis (disorder)","1"
"Cigarette smoking behavior","Hypertensive disease","1"
"Muscle hypotonia","Developmental delay (disorder)","1"
"biological adaptation to stress","Sensitization (disorder)","1"
"Awareness","Metabolic Syndrome X","1"
"Thirst","Disorder nervous system","1"
"Projection Defense Mechanism","Chorea Acanthocytosis Syndrome","1"
"Carrying","Andersen Syndrome","1"
"Obsessions","Parkinson Disease","1"
"Delirium","Dyskinetic syndrome","1"
"Severe cognitive impairment","Hereditary Diseases","1"
"Physical activity","Chronic Kidney Diseases","1"
"Behavior","Memory Disorders","1"
"Interested","Sensitization (disorder)","1"
"Panic","Disorders, Mental","1"
"Success","Cerebellar Diseases","1"
"Seizures","Retinal Diseases","1"
"Mental concentration","Shwachman syndrome","1"
"Aggressive behavior","Hypertensive disease","1"
"Physical aggression","Functional disorder","1"
"Repetitious behavior","cortex bone disorders","1"
"Cognition","Herpes zoster disease","1"
"Comatose","cortex bone disorders","1"
"Performance","Jet Lag Syndrome","1"
"Swimming","Disorder of pineal gland","1"
"Communication","Nose Diseases","1"
"Fasting","Machado-Joseph Disease","1"
"Swimming","Acute infectious disease","1"
"Behavior","Penile Diseases","1"
"Tinnitus","Dystonia Disorders","1"
"Nociception","Complex Regional Pain Syndromes","1"
"Sexual Dysfunction","Spinal Cord Diseases","1"
"Nausea","Pituitary Diseases","1"
"Tremor","Motor Neuron Disease, Lower","1"
"Body Weight","Ovarian Diseases","1"
"Protective Factors","Disease Progression","1"
"social stress","Syndrome","1"
"Social Role","Affective Disorders, Psychotic","1"
"Fasting","Renal vascular disorder","1"
"Mood Disorders","Parkinsonian Disorders","1"
"Behavioral Symptoms","Stiff-Person Syndrome","1"
"Gambling, Pathological","Functional disorder","1"
"Genetic Risk","Metabolic Diseases","1"
"Intelligence","Disorder nervous system","1"
"Communication","Locked-In Syndrome","1"
"Memory, Short-Term","CNS disorder","1"
"Hemorrhage","Depressive disorder","1"
"Life Style","Heart Diseases","1"
"unresponsive behavior","Timothy syndrome","1"
"Mental association","Nose Diseases","1"
"Body Weight","Premenstrual syndrome","1"
"Taste bitter","Lung diseases","1"
"Pain","Finnish congenital nephrotic syndrome","1"
"Drug seeking behavior","Disorders, Mental","1"
"Cognition","Organic psychosyndrome","1"
"Physiological Stress","Alzheimer's Disease","1"
"DEPRESSION MENTAL","Nose Diseases","1"
"Communication Response","Lesch-Nyhan Syndrome","1"
"Communication","Sleep Disorders","1"
"Threshold of hearing","cortex bone disorders","1"
"Body Weight","Russell-Silver syndrome","1"
"Verbal repetition","Functional disorder","1"
"taste perception","Lung diseases","1"
"Impaired cognition","Respiratory Distress Syndrome, Adult","1"
"Mood Disorders","Down Syndrome","1"
"Inattention","Alzheimer's Disease","1"
"Hostility","Major Depressive Disorder","1"
"Memory impairment","Werner Syndrome","1"
"Mood","Mild cognitive disorder","1"
"Presbycusis","Hamartoma Syndrome, Multiple","1"
"Communication Response","Metabolic Syndrome X","1"
"Like","Diseases of external ear","1"
"Mental concentration","Restless Legs Syndrome","1"
"Success","motor disorder","1"
"Visit","Cyclical vomiting syndrome (disorder)","1"
"Discussion","Neurodevelopmental disorder","1"
"Puberty","Bipolar Disorder","1"
"sharing","McCune-Albright Syndrome","1"
"Coping Behavior","Parkinson Disease","1"
"Temper tantrum","Skin endocrine disorder","1"
"Seizures","Anxiety Disorders","1"
"Sex Behavior","Disorder of pineal gland","1"
"Trichotillomania","Gilles de la Tourette syndrome","1"
"biological adaptation to stress","Brain Diseases","1"
"Decision Making","Lens Diseases","1"
"Hearing","Degenerative disorder","1"
"Language Delay","Little's Disease","1"
"Recognition (Psychology)","Attention Deficit Disorder","1"
"Suicide","Recurrent disease","1"
"Coitus","Sensory Disorders","1"
"Feedback - evaluative response process","Pervasive Development Disorder","1"
"Inattention","Functional disorder","1"
"Nociception","Pain Disorder","1"
"Amnesia","Developmental arithmetic disorder","1"
"Success","Bipolar Disorder","1"
"Reluctance","Disorder nervous system","1"
"popularity","Disorders, Mental","1"
"Personal Satisfaction","Mood Disorders","1"
"Perseveration","Parkinsonian Disorders","1"
"Mental concentration","Chronic Kidney Diseases","1"
"Interested","Sequela of disorder","1"
"Cocaine","Coffin-Siris syndrome","1"
"Cognition","Learning Disorders","1"
"Mood Disorders","Heart Diseases","1"
"Spatial Visualization","Depressive disorder","1"
"Persistence","Pituitary Diseases","1"
"High risk of","Cyclothymic Disorder","1"
"Behavior","Gastrointestinal Diseases","1"
"Mental concentration","Iodine deficiency syndrome","1"
"Behavioral Symptoms","Post-Traumatic Stress Disorder","1"
"Involvement with","Deficiency Diseases","1"
"Moderate cognitive impairment","Parkinsonian Disorders","1"
"Indifferent mood","Neurodegenerative Disorders","1"
"Conflicts (Psychology)","Alzheimer's Disease","1"
"Feeling content","Psychotic Disorders","1"
"Unable to balance","Lewy Body Disease","1"
"Achievement","Parkinson Disease","1"
"Chronic pain","Attention Deficit Disorder","1"
"Impaired cognition","Celiac Disease","1"
"Mental Suffering","Major Depressive Disorder","1"
"Overactivity","Pervasive Development Disorder","1"
"Illness Behavior","Parkinson Disease","1"
"Autistic Disorder","Panic Disorder","1"
"Executive Function","Disorders, Mental","1"
"Memory","CNS disorder","1"
"Executive Function","Fragile X Tremor Ataxia Syndrome","1"
"Communication Response","Substance Use Disorders","1"
"Reaction Time","Motor Neuron Disease","1"
"Performance","Fabry Disease","1"
"Suicidal","Neurodegenerative Disorders","1"
"Aggressive behavior","Pituitary Diseases","1"
"Attribution","Seasonal Affective Disorder","1"
"taste perception","Macrophage Activation Syndrome","1"
"Diving","Sudden infant death syndrome","1"
"Dark Adaptation","Acute Chest Syndrome","1"
"Mental association","Alexander Disease","1"
"Sex Behavior","Alstrom Syndrome","1"
"Cognition","Rumination Disorders","1"
"Mutism","Cerebellar Diseases","1"
"High risk of","Respiratory Distress Syndrome, Newborn","1"
"Heterosexuals","Milroy Disease","1"
"Victim of abuse (finding)","Respiration Disorders","1"
"Comatose","Heart Diseases","1"
"Body Image","Depressive disorder","1"
"Cocaine","other psychiatric disorders","1"
"Learning","Communicable Diseases","1"
"Behavior, Animal","Parkinson Disease","1"
"Interested","Skin endocrine disorder","1"
"Interested","Zika virus disease (disorder)","1"
"Fasting","Mood Disorders","1"
"Exercise","Glycogen Storage Disease Type V","1"
"Walking","Dystonia Disorders","1"
"Learning","Lesch-Nyhan Syndrome","1"
"Feeling powerless","Syndrome","1"
"Bradykinesia","Sandhoff Disease","1"
"Echolalia","Disorder nervous system","1"
"Attention","Hypopigmentation-immunodeficiency disease","1"
"Interested","Dyskinetic syndrome","1"
"Disputes","Cardiovascular Diseases","1"
"Insight","Rare Diseases","1"
"Learning Disabilities","Movement Disorders","1"
"Gilles de la Tourette syndrome","Fragile X Syndrome","1"
"Feeding regime","Pituitary Diseases","1"
"Mental Processes","Auditory Processing Disorder, Central","1"
"Memory, Short-Term","Spinal Cord Diseases","1"
"Intention - mental process","Mild cognitive disorder","1"
"Physiological Stress","Hashimoto Disease","1"
"DEPRESSION MENTAL","Bipolar I disorder","1"
"Impaired cognition","Choroidal and/or chorioretinal disorder","1"
"biological adaptation to stress","Huntington Disease","1"
"Vision","Accommodation phosphene (disorder)","1"
"Repetitious behavior","Cognition Disorders","1"
"Vision Disparity","Respiratory Distress Syndrome, Newborn","1"
"Alcohol consumption","Autism Spectrum Disorders","1"
"Verbal impairment","Pervasive Development Disorder","1"
"Methamphetamine","Substance Use Disorders","1"
"Spatial Memory","Disorder nervous system","1"
"Endocochlear potential","Depressive disorder","1"
"Confident","Pervasive Development Disorder","1"
"Physical Contact","Ataxia as late effect of cerebrovascular disease","1"
"Memory, Episodic","Autism Spectrum Disorders","1"
"Communication","Sensitization (disorder)","1"
"Empowered","Lysosomal Storage Diseases","1"
"Touch sensation","Brain Diseases","1"
"Spatial Memory","Degenerative disorder","1"
"Exercise","Macrophage Activation Syndrome","1"
"Protective Factors","Parkinson Disease","1"
"Sensory Deprivation","Rett Syndrome","1"
"Performance","Delirium, Dementia, Amnestic, Cognitive Disorders","1"
"Exercise","Cognition Disorders","1"
"Play","Zika virus disease (disorder)","1"
"Reaching","Pituitary Diseases","1"
"Alcohol consumption","Syndrome","1"
"Discussion","Niemann-Pick Disease, Type C","1"
"taste perception","Coffin-Lowry syndrome","1"
"Craves for drugs","Disease Progression","1"
"Marijuana Abuse","Neurotoxicity Syndromes","1"
"Availability of","Vasodilation disorder","1"
"Comprehension","Cerebral Small Vessel Diseases","1"
"vocal learning","Alzheimer's Disease","1"
"Speech Disorders","Charcot-Marie-Tooth Disease","1"
